event_id_cnty,notes,gold_label,gold_label_full,actor_norm
CAO13748,"On 31 May 2024, the military forces severely beat a civilian at a checkpoint in Ashing (Belo, Boyo, Nord-Ouest) for an unknown reason. There were no fatalities. The civilian was traveling to sell flowers at graduation when he was stopped and taken to a nearby house by the soldiers. He was taken to the Kikwini hospital for treatment.",V,Violence against civilians,State forces (Cameroon)
CAO4935,"Looting: On 6 January 2021, the military forces raided Owe village, Muyuka subdivision (Fako, Sud-Ouest). They broke into houses and took away money.",S,Strategic developments,State forces (Cameroon)
CAO2846,"On 14 January 2020, the military forces engaged in a fire fight with Ambazonian separatists in Peng village, Tombel subdivision (Kupe-Manenguba, Sud-Ouest) [coded: Tombel]. Two civilians were killed after they were reportedly flagged as Ambazonian fighters.",B,Battles,State forces (Cameroon)
CAO6346,"On 3 August 2022, the Cameroonian military forces beat up civilians in Balikumbat (Balikumbat, Ngo-Ketunjia, Nord-Ouest) in their search for separatist fighters.",V,Violence against civilians,State forces (Cameroon)
CAO9881,"On 1 December 2022, military forces arrested an unspecified number of civilian and tortured them in Ediki (Kumba 3, Meme, Sud-Ouest). The officers were in an operation in search of armed fighters (likely Ambazonian Separatists). The group was attacked for not reporting the presence of fighters within their community. No information on the group's conditions.",V,Violence against civilians,State forces (Cameroon)
CAO5487,"On 16 August 2021, the military forces tortured several civilians, and looted properties during a raid in Bamenda - Chomba village, Bamenda 2 subdivision (Mezam, Nord-Ouest).",V,Violence against civilians,State forces (Cameroon)
CAO12605,"On 22 January 2021, the military forces Bafia (Fako, Sud Ouest). They broke into houses, attacked and arrested civilians.",V,Violence against civilians,State forces (Cameroon)
CAO12475,"On 24 July 2023, state security forces (coded as military) shot and injured a civilian along the road in Mamfe commune, coded to Mamfe (Manyu, Sud-Ouest). They shot him after he attempted to flee when they stopped him. He later died from his injuries.",V,Violence against civilians,State forces (Cameroon)
CAO7409,"Looting: Around 16 June 2023, police and a gendarmerie officers looted a mobile phone and other personal items from a taxi driver in Buea (Buea, Fako, Sud-Ouest). The security officers had entered the taxi and had also tried to extort money from the victim.",S,Strategic developments,State forces (Cameroon)
CAO3384,"On 14 June 2020, the military forces engaged in fire fights with Ambazonian separatists in Bamenda town (Mezam, Nord-Ouest). No fatality and/or casualty reported.",B,Battles,State forces (Cameroon)
CAO12227,"On 31 August 2023, state security forces, coded as military forces, who were in a convoy, engaged in an armed clash with Ambazonian Separatists at an illegal checkpoint in Agyati (Mezam, Nord-Ouest). There were no casualties.",B,Battles,State forces (Cameroon)
CAO12122,"On 13 August 2023, state security forces, coded as the military forces, shot and killed 1 Ambazonian Separatist and left his body along the Kumba - Mamfe road in Kurume (Konye, Meme, Sud-Ouest). They had arrested the Separatist over a year ago.",V,Violence against civilians,State forces (Cameroon)
CAO4139,"On 8 November 2020, the military forces raided Luh village, in Ndu subdivision (Donga-Mantung, Nord-Ouest), killing two civilians including a driver and a bike taxi driver.",V,Violence against civilians,State forces (Cameroon)
CAO11454,"On 5 July 2023, state security forces, coded as military forces, arrested about 25 civilians from their residences in Ndikolo (Meme, Sud-Ouest) during a raid to dislodge the hideout of an Ambazonian Separatist called General Black Wrappen who had fled before the forces' arrival.",S,Strategic developments,State forces (Cameroon)
CAO4242,"On 26 December 2020, the military forces attacked the Tubah District Hospital in Bambui town (Mezam, Nord-Ouest), killing two people including a patient.",V,Violence against civilians,State forces (Cameroon)
CAO13564,"On 21 April 2024, gendarmerie officers clashed with Ambazonian Separatists from the Restoration Forces faction at the Separatist hideout in Kouki (Mbven, Bui, Nord-Ouest). There were no fatalities. No information on the injuries.",B,Battles,State forces (Cameroon)
CAO10471,"On 22 March 2023, state security forces, coded as military forces, beat up civilians and broke into homes where they looted properties in Ngomgham Mankon, coded to Ntarinkon (Bamenda - Mankon, Mezam, Nord-Ouest). They also harrassed civilians, the attack was after separatists attacked their position in the area and engaged them in an armed clash (coded separately). No information on injuries.",V,Violence against civilians,State forces (Cameroon)
CAO4773,"Around 15 September 2020 (month of), the military forces attacked and severely beat up a group of civilians carrying out community work in Mefah-Tembei village, Batibo subdivision (Momo, Nord-Ouest).",V,Violence against civilians,State forces (Cameroon)
CAO4808,"Around 16 October 2020 (week of), the military forces engaged in fire fights with Ambazonian separatists in Bamessing village, Ndop subdivision (Mezam, Nord-Ouest), resulting in 3 people getting killed.",B,Battles,State forces (Cameroon)
CAO10307,"On 30 April 2023, state security forces, coded as military forces, physically assaulted an unspecified number of civilians and arrested one of them at a funeral ceremony in Ediki (Meme, Sud-Ouest). No report on injuries.",V,Violence against civilians,State forces (Cameroon)
