event_id_cnty,notes,gold_label,gold_label_full,actor_norm
CAO13652,"On 13 April 2024, state security forces, coded as the military forces from the Rapid Intervention, beat and injured a dump truck driver and 2 other civilians on the main road in Mile 15 Buea (Buea, Fako, Sud-Ouest) after the dump truck blocked the road and delayed their convoy traveling to Buea center. There were no fatalities.",V,Violence against civilians,State forces (Cameroon)
CAO5524,"On 26 September 2021, suspected military forces shot and killed a woman in Barombi Kotto village, Kumba town, Ekondo Titi subdivision (Ndian, Sud-Ouest).",V,Violence against civilians,State forces (Cameroon)
CAO13860,"Around 4 July 2024 (as reported), a gendarmerie officer fired shots at a civilian commercial vehicle killing a 14-year-old girl in Santchou (Santchou, Menoua, Ouest). The officer asked for papers for a bike on the commercial vehicle but the driver failed to stop at a checkpoint.",V,Violence against civilians,State forces (Cameroon)
CAO11648,"On 11 June 2023, state security forces (coded as military) killed a civilian doing repair work at a home in Babanki (Mezam, Nord-Ouest). They burnt down the civilian's home, including the victim's, accusing them of being Ambazonian Separatists.",V,Violence against civilians,State forces (Cameroon)
CAO12246,"On 15 August 2023, state security forces, coded as the military forces, fired sporadic gunshots for nearly 2 hours in an operation to dislodge Ambazonian Separatists in Mbueni, coded to Njinikom (Njinikom, Boyo, Nord-Ouest). 2 civilians and 2 Separatists were killed.",B,Battles,State forces (Cameroon)
CAO5148,"On 17 May 2021, the military forces nightly raided Bu village, Wum subdivision (Menchum, Nord-Ouest). They burnt 50 houses down, and killed 2 people, including a traditional ruler.",V,Violence against civilians,State forces (Cameroon)
CAO11975,"On 22 October 2023, police forces shot at a commercial vehicle at a vehicular checkpoint in Mabonji (Meme, Sud-Ouest) after the driver refused to pay money they demanded and attempted to flee. There were no casualties, but the car was damaged.",V,Violence against civilians,State forces (Cameroon)
CAO7653,"Around 25 July 2023, a prison manager inflicted 600 strokes under the feet of an inmate at the Eseka Prison in Eseka (Eseka, Nyong-et-Kelle, Centre). The prison manager is also accused of extorting money from the inmate. There were no fatalities.",V,Violence against civilians,State forces (Cameroon)
CAO11405,"On 23 January 2024, the military forces arrested about 25 civilians from their private residences and public commercial facilities in Weme (Konye, Meme, Sud-Ouest) for failing to alert them on the presence of Ambazonian Separatists in the area.",S,Strategic developments,State forces (Cameroon)
CAO15096,"On 29 September 2024, the military forces from the Rapid Intervention clashed with Boko Haram (JAS) (likely) militants near the military post in Amchide (Kolofata, Mayo-Sava, Extreme-Nord), and repelled an attack from the militants. There were no fatalities. The military forces arrested 3 militants and recovered military equipment.",B,Battles,State forces (Cameroon)
CAO5005,"Looting: On 4 February 2021, the military forces seized about 12 motorbikes from 25 youth they previously arrested in Njuma village, Ekondo Titi subdivision (Ndian, Sud-Ouest).",S,Strategic developments,State forces (Cameroon)
CAO5007,"On 5 February 2021, the military forces engaged in fire fights with Ambazonian separatists in Mbengwi town, Mbeggwi subdivision (Momo, Nord-Ouest). One civilian was injured by a stray bullet.",B,Battles,State forces (Cameroon)
CAO12628,"On 27 January 2022, military forces killed two civilians and arrested another two in Bambui, (Tubah, Mezam, Nord-Ouest). The victims were accused of working with Ambazonian separatists.",V,Violence against civilians,State forces (Cameroon)
CAO3179,"On 13 April 2020, military forces burnt two houses, including that of the chief of Owe village, in Muyuka subdivision (Fako, Sud-Ouest) during a raid. No fatality and/or casualty reported.",S,Strategic developments,State forces (Cameroon)
CAO12883,"Property destruction: Around 22 January 2021 (as reported), the military forces reportedly burnt several houses down in Bafia town (Fako, Sud-Ouest).",S,Strategic developments,State forces (Cameroon)
CAO15042,"Around 23 September 2024 (as reported), the gendarmerie forces arrested at least 135 civilians in Nlohe (Manjo, Moungo, Littoral) for no possession of national identity cards, drug trafficking, or theft. 21 of the persons without ID cards were later released.",S,Strategic developments,State forces (Cameroon)
CAO12495,"On 20 July 2023, state security forces (coded as military) engaged in an armed confrontation with Ambazonian Separatists at their hideout in New Town Barombi (Meme, Sud-Ouest). Three were killed, including two Separatists and one soldier. Three soldiers were injured.",B,Battles,State forces (Cameroon)
CAO14671,"On 2 July 2024, the security forces, coded as the military forces, arrested 23 men and 7 women from their private residences in Bole (Kumba 1, Meme, Sud-Ouest) during a search operation and took them to the military base for an unknown reason.",S,Strategic developments,State forces (Cameroon)
CAO4935,"Looting: On 6 January 2021, the military forces raided Owe village, Muyuka subdivision (Fako, Sud-Ouest). They broke into houses and took away money.",S,Strategic developments,State forces (Cameroon)
CAO8957,"On 29 August 2022, military forces ambushed and killed one Ambazonian separatist and arrested one other who was on transit on a motor bike in Lipenja Village (Ekondo Titi, Ndian, Sud-Ouest).",B,Battles,State forces (Cameroon)
CAO10497,"On 16 March 2023, state security forces (coded as military) fired shots at a vehicle, injuring some civilians, at a vehicular checkpoint in Ntarinkon (Bamenda - Mankon, Mezam, Nord-Ouest) after the driver failed to stop.",V,Violence against civilians,State forces (Cameroon)
