event_id_cnty,notes,gold_label,gold_label_full,actor_norm
NIG34478,"On 9 December 2023, some Nigerian soldiers tortured and wounded a police officer (off duty) around the Nigerian Army's 63 Brigade in Asaba (Oshimili South, Delta) over an allegation of wrong parking and refusal to comply with a soldier's directive. The victim was taken to a hospital for treatment.",V,Violence against civilians,Other Actors
NIG19553,"On 17 January 2021, ISWAP ambushed Nigerian troops between Goniri (Gujba LGA, Yobe) and Gorigi (Damboa), allegedly killing and wounding a number of soldiers. Unknown fatalities coded as 3.",B,Battles,Other Actors
NIG33906,"Around 25 November 2023 (as reported), troops of Operation Hadarin Daji raided hideouts of a Zamfara militia and engaged them in an armed clash at Tazame, Mashema, Doka, Maje and neighboring areas near Gandaya village in Bungudu LGA (Zamfara). Four militiamen were killed, an unconfirmed number of others fled with gunshot wounds, all the camps were destroyed, 57 rustled cattle, 900,000 naira cash a",B,Battles,Other Actors
NIG16292,"On 3 January 2020, soldiers of Nigerian Armed Forces raided Bukarti (Konduga LGA, Borno) on a search for Boko Haram fighters and deported residents. The village was later set ablaze by NAF.",V,Violence against civilians,Other Actors
NIG17076,"On 23 April 2020, Nigerian Armed Forces raided Gidan Jaja in Kwashabawa ward of Zurmi LGA (Zamfara) in search of criminals. Houses were set ablaze, property destroyed and 1 resident shot in the leg.",V,Violence against civilians,Other Actors
NIG17354,"On 11 June 2020, security officials shot at a presidential aide at Aso Rock, the presidential villa, in Abuja (Abuja LGA, FCT) over his refusal to isolate himself due to coronavirus.",V,Violence against civilians,Other Actors
NIG36017,"On 11 December 2023, soldiers attacked farmers on their farms, wounded them and looted their properties over claims that the lands which were allocated to the farmers belonged to the military, as claimed by the farmers. Location coded to Ikeja (Ikeja, Lagos).",V,Violence against civilians,Other Actors
NIG22441,"On 4 November 2021, a tricycle driver was killed by a policeman over his refusal to pay a bribe in Ipaja (Alimosho, Lagos). Some sources claim the victim was shot by the policeman while others claim he was stabbed.",V,Violence against civilians,Other Actors
NIG36054,"Around 13 April 2024 (between 12 April - 13 April), NAF conducted an airstrike that targeted and destroyed an illegal refining site and four boats loaded with illegally refined crude oil products at Yellow Island, Cawthorne Channel and Idama (Akukutoru, Rivers). The airstrikes lasted across different locations for two days (coded separately).",E,Explosions/Remote violence,Other Actors
NIG22750,"On 28 November 2021, police forces engaged an unidentified armed group in an armed clash at the group's hideout in Tsenom (Ukum, Benue), after trailing the group following their involvement in an attack on mourners in Logo on 13 November [coded separately]. Two of the armed men were killed, one was wounded and arrested by the police.",B,Battles,Other Actors
NIG23107,"On 31 December 2021, police forces, together with member of Igabi communal militia, clashed with Kaduna militia members at the Sabon Birni forest (Igabi, Kaduna) while the group was raiding one of the militia camps. One militiaman was killed, others fled with gunshot wounds; two others were arrested and nine abducted victims were rescued including one who sustained a bullet injury.",B,Battles,Other Actors
NIG30021,"On 8 February 2023, policemen shot the chairman of Ekpan development committee and abducted him along Warri-Sapele road (Warri South, Delta). Some sources claim that the policemen were acting on the orders of the state governor and the PDP governorship aspirant.",V,Violence against civilians,Other Actors
NIG17107,"On 26 May 2020, Police officers attacked and detained a group of officers from Lagos State Building Control Agency during an inspection in Aja (Eti-Osa LGA, Lagos). They also shot in the air. No fatalities and/or injuries reported.",V,Violence against civilians,Other Actors
NIG33251,"Weapons seizure: On 17 October 2023, troops of 1 Brigade of the Nigerian army intercepted and seized a bag containing 224 rounds of 7.62mm special ammunition in Birnin Magaji LGA (Kiyawa, Zamfara) as it was being transported to a Zamfara militia leader called Gishiri. the sum of 40,000 naira was also seized from the courier who was arrested.",S,Strategic developments,Other Actors
NIG17399,"Around 14 June 2020 (as reported), a military patrol rammed into a road block of a coronavirus Task Force in Maiduguri (Maiduguri LGA, Borno) and threatened to open fire on them. 1 person was killed.",V,Violence against civilians,Other Actors
NIG34685,"On 21 January 2024, Nigerian troops ambushed and killed a Boko Haram (JAS) fighter in Luskori, coded to Konduga (Konduga, Borno). Another one escaped with gun wounds. The military recovered an AK 47 rifle. There was one fatality.",B,Battles,Other Actors
NIG31771,"On 30 June 2023, policemen in a minivan ran over a civilian who was in handcuffs at Ekpoma (Esan West, Edo). The victim was seriously wounded.",V,Violence against civilians,Other Actors
NIG18054,"On 10 August 2020, policemen attacked a community leader with an axe in Odogunyan (Ikorodu, Lagos) for intervening in a dispute with tricycle union workers. Injuries reported.",V,Violence against civilians,Other Actors
NIG20773,"Around 21 May 2021 (as reported), Nigerian security operatives clashed with a Niger communal militia at Kontagora LGA (Niger), killing at least 7 militiamen. Event connected to the death of the eldest son of the Emir of Kontagora.",B,Battles,Other Actors
NIG24556,"On 20 April 2022, Nigerian troops mistakenly killed three civilians during an operation against militiamen in Kwatan Nanido (Gassol, Taraba).",V,Violence against civilians,Other Actors
