event_id,model,true_label,pred_label,pred_conf_temp,actor_norm,annotation_provenance,annotation_ambiguous_actor,annotation_verb_intensity,annotation_casualty_counts,annotation_passive_voice,annotation_notes
CAO9047,mistral:7b,V,B,0.9499999999999998,State forces (Cameroon),,,,,,
CAO10782,mistral:7b,V,B,0.9499999999999998,State forces (Cameroon),,,,,,
CAO9513,olmo2:7b,V,B,0.9499999999999998,State forces (Cameroon),,,,,,
CAO9887,olmo2:7b,V,B,0.85,State forces (Cameroon),,,,,,
CAO9044,olmo2:7b,V,B,0.85,State forces (Cameroon),,,,,,
CAO9180,olmo2:7b,V,S,0.85,State forces (Cameroon),,,,,,
CAO2947,olmo2:7b,V,B,0.85,State forces (Cameroon),,,,,,
CAO12666,olmo2:7b,V,B,0.85,State forces (Cameroon),,,,,,
CAO10262,olmo2:7b,V,B,0.85,State forces (Cameroon),,,,,,
CAO2838,olmo2:7b,V,B,0.85,State forces (Cameroon),,,,,,
CAO12627,olmo2:7b,V,B,0.85,State forces (Cameroon),,,,,,
CAO5177,olmo2:7b,V,S,0.85,State forces (Cameroon),,,,,,
CAO7435,olmo2:7b,V,B,0.85,State forces (Cameroon),,,,,,
CAO7035,olmo2:7b,V,B,0.85,State forces (Cameroon),,,,,,
CAO9887,gemma3:4b,V,B,0.85,State forces (Cameroon),,,,,,
CAO4974,llama3.2:3b,V,B,0.8999999999999999,State forces (Cameroon),,,,,,
CAO6350,llama3.2:3b,V,B,0.8999999999999999,State forces (Cameroon),,,,,,
CAO3310,llama3.2:3b,V,S,0.8999999999999999,State forces (Cameroon),,,,,,
