model,event_id,true_label,pred_label,pred_conf,logits,latency_sec,actor_norm
gemma3:4b,CAO13652,V,V,0.85,"[0.15, 0.2, 0.1, 0.18, 0.12, 0.25]",1.83,State forces (Cameroon)
gemma3:4b,CAO5524,V,V,0.95,"[0.15, 0.1, 0.05, 0.1, 0.15, 0.25]",1.98,State forces (Cameroon)
gemma3:4b,CAO13860,V,V,0.95,"[0.1, 0.15, 0.2, 0.05, 0.1, 0.2]",1.86,State forces (Cameroon)
gemma3:4b,CAO11648,V,V,0.95,"[0.1, 0.15, 0.05, 0.12, 0.18, 0.2]",1.89,State forces (Cameroon)
gemma3:4b,CAO12246,B,V,0.85,"[0.15, 0.1, 0.18, 0.05, 0.12, 0.35]",1.88,State forces (Cameroon)
gemma3:4b,CAO5148,V,V,0.95,"[0.15, 0.1, 0.05, 0.1, 0.15, 0.25]",1.74,State forces (Cameroon)
gemma3:4b,CAO11975,V,V,0.85,"[0.15, 0.1, 0.12, 0.08, 0.18, 0.27]",1.72,State forces (Cameroon)
gemma3:4b,CAO7653,V,V,0.85,"[0.15, 0.2, 0.1, 0.18, 0.12, 0.25]",1.85,State forces (Cameroon)
gemma3:4b,CAO11405,S,V,0.85,"[0.15, 0.2, 0.1, 0.18, 0.12, 0.25]",1.86,State forces (Cameroon)
gemma3:4b,CAO15096,B,B,0.95,"[0.15, 0.1, 0.12, 0.08, 0.07, 0.1]",1.92,State forces (Cameroon)
gemma3:4b,CAO5005,S,V,0.85,"[0.15, 0.2, 0.1, 0.05, 0.1, 0.2]",1.75,State forces (Cameroon)
gemma3:4b,CAO5007,B,B,0.95,"[0.15, 0.1, 0.05, 0.1, 0.15, 0.25]",1.72,State forces (Cameroon)
gemma3:4b,CAO12628,V,V,0.95,"[0.1, 0.15, 0.05, 0.1, 0.12, 0.13]",1.74,State forces (Cameroon)
gemma3:4b,CAO3179,S,V,0.95,"[0.1, 0.15, 0.05, 0.12, 0.08, 0.1]",1.76,State forces (Cameroon)
gemma3:4b,CAO12883,S,1,0.95,"[0.1, 0.15, 0.2, 0.05, 0.1, 0.2]",2.01,State forces (Cameroon)
gemma3:4b,CAO15042,S,V,0.85,"[0.15, 0.2, 0.1, 0.18, 0.12, 0.25]",1.8,State forces (Cameroon)
gemma3:4b,CAO12495,B,B,0.95,"[0.15, 0.2, 0.1, 0.05, 0.1, 0.2]",1.81,State forces (Cameroon)
gemma3:4b,CAO14671,S,V,0.75,"[0.15, 0.2, 0.1, 0.05, 0.1, 0.2]",1.88,State forces (Cameroon)
gemma3:4b,CAO4935,S,1,0.95,"[0.15, 0.2, 0.1, 0.05, 0.1, 0.2]",2.09,State forces (Cameroon)
gemma3:4b,CAO8957,B,1,0.85,"[0.15, 0.1, 0.12, 0.08, 0.07, 0.1]",1.96,State forces (Cameroon)
gemma3:4b,CAO10497,V,V,0.85,"[0.15, 0.2, 0.1, 0.18, 0.12, 0.25]",1.9,State forces (Cameroon)
gemma3:4b,CAO12776,B,B,0.95,"[0.1, 0.15, 0.2, 0.05, 0.1, 0.2]",1.74,State forces (Cameroon)
gemma3:4b,CAO4338,B,B,0.85,"[0.15, 0.2, 0.1, 0.05, 0.1, 0.4]",1.77,State forces (Cameroon)
gemma3:4b,CAO13006,V,V,0.85,"[0.15, 0.1, 0.12, 0.08, 0.18, 0.27]",1.66,State forces (Cameroon)
gemma3:4b,CAO4239,B,V,0.85,"[0.15, 0.2, 0.1, 0.18, 0.12, 0.25]",2.05,State forces (Cameroon)
gemma3:4b,CAO8979,B,B,0.95,"[0.1, 0.15, 0.2, 0.05, 0.1, 0.2]",1.72,State forces (Cameroon)
gemma3:4b,CAO13845,B,V,0.95,"[0.15, 0.1, 0.12, 0.08, 0.07, 0.1]",1.91,State forces (Cameroon)
gemma3:4b,CAO15710,S,V,0.85,"[0.15, 0.2, 0.1, 0.18, 0.12, 0.25]",1.87,State forces (Cameroon)
gemma3:4b,CAO8017,S,V,0.85,"[0.15, 0.1, 0.12, 0.08, 0.18, 0.2]",1.79,State forces (Cameroon)
gemma3:4b,CAO4061,S,P,0.75,"[0.1, 0.15, 0.05, 0.12, 0.08, 0.1]",1.81,State forces (Cameroon)
gemma3:4b,CAO9658,B,B,0.95,"[0.15, 0.1, 0.05, 0.1, 0.15, 0.25]",1.76,State forces (Cameroon)
gemma3:4b,CAO8684,B,B,0.95,"[0.1, 0.15, 0.2, 0.05, 0.1, 0.2]",1.82,State forces (Cameroon)
gemma3:4b,CAO7035,V,1,0.85,"[0.15, 0.2, 0.1, 0.18, 0.12, 0.25]",1.76,State forces (Cameroon)
gemma3:4b,CAO15434,V,V,0.95,"[0.1, 0.15, 0.05, 0.12, 0.08, 0.1]",1.96,State forces (Cameroon)
gemma3:4b,CAO9461,B,B,0.85,"[0.15, 0.2, 0.1, 0.18, 0.12, 0.25]",1.89,State forces (Cameroon)
gemma3:4b,CAO6455,B,B,0.85,"[0.15, 0.2, 0.1, 0.18, 0.12, 0.25]",2.0,State forces (Cameroon)
gemma3:4b,CAO10195,V,V,0.95,"[0.1, 0.15, 0.05, 0.12, 0.08, 0.1]",1.79,State forces (Cameroon)
gemma3:4b,CAO14814,V,V,0.95,"[0.1, 0.15, 0.05, 0.1, 0.12, 0.18]",1.77,State forces (Cameroon)
gemma3:4b,CAO12973,S,E,0.95,"[0.15, 0.1, 0.12, 0.08, 0.18, 0.21]",1.84,State forces (Cameroon)
gemma3:4b,CAO10023,B,B,0.95,"[0.15, 0.2, 0.1, 0.05, 0.1, 0.2]",1.89,State forces (Cameroon)
gemma3:4b,CAO13959,B,V,0.85,"[0.15, 0.2, 0.1, 0.18, 0.12, 0.25]",1.85,State forces (Cameroon)
gemma3:4b,CAO14643,B,B,0.85,"[0.15, 0.2, 0.1, 0.1, 0.25, 0.1]",1.75,State forces (Cameroon)
gemma3:4b,CAO7944,B,B,0.95,,2.21,State forces (Cameroon)
gemma3:4b,CAO11497,S,V,0.85,"[0.15, 0.2, 0.1, 0.18, 0.12, 0.25]",1.99,State forces (Cameroon)
gemma3:4b,CAO3671,B,V,0.85,"[0.15, 0.1, 0.05, 0.1, 0.15, 0.25]",2.09,State forces (Cameroon)
gemma3:4b,CAO10403,B,1,0.85,"[0.15, 0.2, 0.1, 0.18, 0.12, 0.25]",1.96,State forces (Cameroon)
gemma3:4b,CAO14548,S,V,0.85,"[0.15, 0.2, 0.1, 0.18, 0.12, 0.25]",1.93,State forces (Cameroon)
gemma3:4b,CAO11480,V,V,0.95,"[0.1, 0.15, 0.05, 0.12, 0.08, 0.1]",1.86,State forces (Cameroon)
gemma3:4b,CAO11970,B,V,0.95,"[0.15, 0.1, 0.1, 0.05, 0.05, 0.15]",1.66,State forces (Cameroon)
gemma3:4b,CAO9239,S,1,0.85,"[0.15, 0.1, 0.12, 0.08, 0.07, 0.1]",1.98,State forces (Cameroon)
gemma3:4b,CAO12285,V,V,0.95,"[0.15, 0.1, 0.05, 0.18, 0.12, 0.15]",1.93,State forces (Cameroon)
gemma3:4b,CAO3880,S,V,0.85,"[0.15, 0.2, 0.1, 0.18, 0.12, 0.25]",1.75,State forces (Cameroon)
gemma3:4b,CAO9633,B,B,0.95,"[0.1, 0.15, 0.2, 0.05, 0.1, 0.2]",1.82,State forces (Cameroon)
gemma3:4b,CAO4978,V,V,0.95,"[0.1, 0.15, 0.05, 0.12, 0.18, 0.2]",1.8,State forces (Cameroon)
gemma3:4b,CAO4080,B,B,0.95,"[0.15, 0.2, 0.1, 0.05, 0.1, 0.2]",1.91,State forces (Cameroon)
gemma3:4b,CAO6193,B,B,0.95,"[0.15, 0.1, 0.12, 0.08, 0.07, 0.1]",1.82,State forces (Cameroon)
gemma3:4b,CAO3959,V,V,0.95,"[0.15, 0.1, 0.05, 0.1, 0.15, 0.25]",1.87,State forces (Cameroon)
gemma3:4b,CAO15608,B,V,0.95,"[0.1, 0.15, 0.05, 0.1, 0.15, 0.25]",1.75,State forces (Cameroon)
gemma3:4b,CAO11527,B,B,0.85,"[0.15, 0.2, 0.1, 0.18, 0.12, 0.25]",2.08,State forces (Cameroon)
gemma3:4b,CAO9976,S,E,0.95,"[0.15, 0.1, 0.18, 0.05, 0.12, 0.35]",1.82,State forces (Cameroon)
gemma3:4b,CAO9790,B,B,0.85,"[0.15, 0.2, 0.1, 0.05, 0.1, 0.2]",1.99,State forces (Cameroon)
gemma3:4b,CAO2828,B,V,0.85,"[0.15, 0.2, 0.1, 0.1, 0.25, 0.19]",1.78,State forces (Cameroon)
gemma3:4b,CAO12627,V,V,0.85,"[0.1, 0.15, 0.12, 0.08, 0.11, 0.16]",1.82,State forces (Cameroon)
gemma3:4b,CAO13117,B,B,0.85,"[0.15, 0.2, 0.1, 0.18, 0.12, 0.25]",1.87,State forces (Cameroon)
gemma3:4b,CAO3310,V,V,0.95,"[0.15, 0.1, 0.05, 0.1, 0.15, 0.25]",1.71,State forces (Cameroon)
gemma3:4b,CAO6179,V,V,0.85,"[0.15, 0.2, 0.1, 0.18, 0.12, 0.25]",1.9,State forces (Cameroon)
gemma3:4b,CAO13900,V,V,0.95,"[0.1, 0.15, 0.05, 0.12, 0.18, 0.2]",1.83,State forces (Cameroon)
gemma3:4b,CAO14085,S,V,0.85,"[0.15, 0.2, 0.1, 0.18, 0.12, 0.25]",1.7,State forces (Cameroon)
gemma3:4b,CAO15187,B,B,0.95,"[0.15, 0.2, 0.1, 0.05, 0.1, 0.2]",1.72,State forces (Cameroon)
gemma3:4b,CAO9705,V,V,0.95,"[0.15, 0.1, 0.05, 0.1, 0.15, 0.25]",2.16,State forces (Cameroon)
gemma3:4b,CAO6892,B,B,0.95,"[0.1, 0.15, 0.2, 0.05, 0.1, 0.2]",1.91,State forces (Cameroon)
gemma3:4b,CAO5673,V,V,0.95,"[0.1, 0.15, 0.05, 0.12, 0.18, 0.2]",1.76,State forces (Cameroon)
gemma3:4b,CAO2947,V,1,0.85,"[0.15, 0.2, 0.1, 0.18, 0.12, 0.25]",2.08,State forces (Cameroon)
gemma3:4b,CAO10446,V,V,0.95,"[0.1, 0.15, 0.2, 0.05, 0.1, 0.2]",1.94,State forces (Cameroon)
gemma3:4b,CAO10858,B,1,0.95,"[0.15, 0.1, 0.05, 0.1, 0.15, 0.25]",1.73,State forces (Cameroon)
gemma3:4b,CAO5105,B,B,0.95,"[0.15, 0.2, 0.1, 0.18, 0.12, 0.25]",2.0,State forces (Cameroon)
gemma3:4b,CAO11756,V,V,0.85,"[0.15, 0.2, 0.1, 0.18, 0.12, 0.25]",1.92,State forces (Cameroon)
gemma3:4b,CAO7761,B,B,0.95,"[0.15, 0.2, 0.1, 0.18, 0.12, 0.25]",2.14,State forces (Cameroon)
gemma3:4b,CAO5330,V,V,0.95,"[0.15, 0.1, 0.05, 0.1, 0.15, 0.25]",2.07,State forces (Cameroon)
gemma3:4b,CAO15406,B,B,0.95,"[0.15, 0.2, 0.1, 0.18, 0.12, 0.25]",1.84,State forces (Cameroon)
gemma3:4b,CAO6494,V,V,0.95,"[0.15, 0.2, 0.1, 0.18, 0.12, 0.25]",1.88,State forces (Cameroon)
gemma3:4b,CAO8679,B,B,0.95,"[0.15, 0.2, 0.1, 0.05, 0.1, 0.2]",1.73,State forces (Cameroon)
gemma3:4b,CAO11862,B,B,0.95,"[0.15, 0.2, 0.1, 0.05, 0.1, 0.2]",1.82,State forces (Cameroon)
gemma3:4b,CAO7879,B,B,0.95,"[0.15, 0.2, 0.1, 0.05, 0.1, 0.2]",1.93,State forces (Cameroon)
gemma3:4b,CAO3141,B,V,0.85,"[0.15, 0.2, 0.1, 0.05, 0.1, 0.2]",1.77,State forces (Cameroon)
gemma3:4b,CAO5272,V,V,0.85,"[0.15, 0.2, 0.1, 0.18, 0.12, 0.25]",1.87,State forces (Cameroon)
gemma3:4b,CAO13702,E,V,0.85,"[0.15, 0.2, 0.1, 0.18, 0.12, 0.25]",1.95,State forces (Cameroon)
gemma3:4b,CAO12108,V,V,0.95,"[0.1, 0.15, 0.2, 0.05, 0.1, 0.2]",1.89,State forces (Cameroon)
gemma3:4b,CAO3149,V,V,0.95,"[0.1, 0.15, 0.05, 0.12, 0.18, 0.2]",1.75,State forces (Cameroon)
gemma3:4b,CAO12365,B,B,0.95,"[0.15, 0.1, 0.12, 0.08, 0.07, 0.1]",1.77,State forces (Cameroon)
gemma3:4b,CAO4088,B,B,0.95,"[0.15, 0.2, 0.1, 0.05, 0.1, 0.2]",1.73,State forces (Cameroon)
gemma3:4b,CAO7957,B,B,0.95,"[0.15, 0.2, 0.1, 0.05, 0.1, 0.2]",1.67,State forces (Cameroon)
gemma3:4b,CAO8739,V,V,0.85,"[0.15, 0.2, 0.1, 0.18, 0.12, 0.25]",1.99,State forces (Cameroon)
gemma3:4b,CAO4504,B,B,0.95,"[0.1, 0.15, 0.2, 0.05, 0.1, 0.2]",1.88,State forces (Cameroon)
gemma3:4b,CAO14469,S,V,0.85,"[0.15, 0.2, 0.1, 0.18, 0.12, 0.25]",1.71,State forces (Cameroon)
gemma3:4b,CAO4185,B,B,0.95,"[0.1, 0.15, 0.2, 0.05, 0.1, 0.2]",1.86,State forces (Cameroon)
gemma3:4b,CAO15046,S,V,0.85,"[0.15, 0.2, 0.1, 0.18, 0.12, 0.25]",1.8,State forces (Cameroon)
gemma3:4b,CAO10405,B,B,0.85,"[0.15, 0.2, 0.1, 0.18, 0.12, 0.25]",1.96,State forces (Cameroon)
gemma3:4b,CAO8359,B,V,0.85,"[0.15, 0.2, 0.1, 0.05, 0.1, 0.4]",1.83,State forces (Cameroon)
gemma3:4b,CAO11538,S,V,0.95,"[0.15, 0.1, 0.1, 0.05, 0.05, 0.15]",1.78,State forces (Cameroon)
gemma3:4b,CAO9044,V,V,0.85,"[0.15, 0.2, 0.1, 0.18, 0.12, 0.25]",1.74,State forces (Cameroon)
