model,prob_col,threshold,accepted,coverage,correct,accuracy,total_valid
mistral:7b,pred_conf,0.0,199,1.0,143,0.719,199
mistral:7b,pred_conf,0.1,199,1.0,143,0.719,199
mistral:7b,pred_conf,0.2,199,1.0,143,0.719,199
mistral:7b,pred_conf,0.3,199,1.0,143,0.719,199
mistral:7b,pred_conf,0.4,199,1.0,143,0.719,199
mistral:7b,pred_conf,0.5,199,1.0,143,0.719,199
mistral:7b,pred_conf,0.6,199,1.0,143,0.719,199
mistral:7b,pred_conf,0.7,199,1.0,143,0.719,199
mistral:7b,pred_conf,0.8,198,0.9949748743718593,142,0.717,199
mistral:7b,pred_conf,0.9,180,0.9045226130653267,137,0.761,199
mistral:7b,pred_conf,0.95,180,0.9045226130653267,137,0.761,199
mistral:7b,pred_conf,0.99,0,0.0,0,,199
olmo2:7b,pred_conf,0.0,189,1.0,128,0.677,189
olmo2:7b,pred_conf,0.1,189,1.0,128,0.677,189
olmo2:7b,pred_conf,0.2,189,1.0,128,0.677,189
olmo2:7b,pred_conf,0.3,189,1.0,128,0.677,189
olmo2:7b,pred_conf,0.4,189,1.0,128,0.677,189
olmo2:7b,pred_conf,0.5,189,1.0,128,0.677,189
olmo2:7b,pred_conf,0.6,189,1.0,128,0.677,189
olmo2:7b,pred_conf,0.7,189,1.0,128,0.677,189
olmo2:7b,pred_conf,0.8,189,1.0,128,0.677,189
olmo2:7b,pred_conf,0.9,119,0.6296296296296297,100,0.84,189
olmo2:7b,pred_conf,0.95,107,0.5661375661375662,94,0.879,189
olmo2:7b,pred_conf,0.99,9,0.047619047619047616,9,1.0,189
gemma3:4b,pred_conf,0.0,183,1.0,122,0.667,183
gemma3:4b,pred_conf,0.1,183,1.0,122,0.667,183
gemma3:4b,pred_conf,0.2,183,1.0,122,0.667,183
gemma3:4b,pred_conf,0.3,183,1.0,122,0.667,183
gemma3:4b,pred_conf,0.4,183,1.0,122,0.667,183
gemma3:4b,pred_conf,0.5,183,1.0,122,0.667,183
gemma3:4b,pred_conf,0.6,183,1.0,122,0.667,183
gemma3:4b,pred_conf,0.7,182,0.994535519125683,121,0.665,183
gemma3:4b,pred_conf,0.8,177,0.9672131147540983,120,0.678,183
gemma3:4b,pred_conf,0.9,94,0.5136612021857924,85,0.904,183
gemma3:4b,pred_conf,0.95,94,0.5136612021857924,85,0.904,183
gemma3:4b,pred_conf,0.99,0,0.0,0,,183
llama3.2:3b,pred_conf,0.0,141,1.0,98,0.695,141
llama3.2:3b,pred_conf,0.1,141,1.0,98,0.695,141
llama3.2:3b,pred_conf,0.2,141,1.0,98,0.695,141
llama3.2:3b,pred_conf,0.3,141,1.0,98,0.695,141
llama3.2:3b,pred_conf,0.4,141,1.0,98,0.695,141
llama3.2:3b,pred_conf,0.5,141,1.0,98,0.695,141
llama3.2:3b,pred_conf,0.6,141,1.0,98,0.695,141
llama3.2:3b,pred_conf,0.7,141,1.0,98,0.695,141
llama3.2:3b,pred_conf,0.8,141,1.0,98,0.695,141
llama3.2:3b,pred_conf,0.9,126,0.8936170212765957,92,0.73,141
llama3.2:3b,pred_conf,0.95,2,0.014184397163120567,1,0.5,141
