model,event_id,true_label,pred_label,pred_conf,logits,latency_sec,actor_norm
mistral:7b,CAO13652,V,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.79,State forces (Cameroon)
mistral:7b,CAO5524,V,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.88,State forces (Cameroon)
mistral:7b,CAO13860,V,V,0.95,"[0.1, 0.2, 0.3, 0.25, 0.05, 0.05]",0.89,State forces (Cameroon)
mistral:7b,CAO11648,V,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.81,State forces (Cameroon)
mistral:7b,CAO12246,B,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.86,State forces (Cameroon)
mistral:7b,CAO5148,V,V,0.95,"[0.1, 0.05, 0.3, 0.05, 0.05, 0.4]",0.79,State forces (Cameroon)
mistral:7b,CAO11975,V,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.87,State forces (Cameroon)
mistral:7b,CAO7653,V,V,0.95,"[0.1, 0.05, 0.03, 0.02, 0.01, 0.74]",1.1,State forces (Cameroon)
mistral:7b,CAO11405,S,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.86,State forces (Cameroon)
mistral:7b,CAO15096,B,B,0.95,"[0.05, 0.1, 0.15, 0.2, 0.25, 0.45]",0.82,State forces (Cameroon)
mistral:7b,CAO5005,S,R,0.85,"[0.1, 0.05, 0.15, 0.05, 0.05, 0.6]",0.76,State forces (Cameroon)
mistral:7b,CAO5007,B,B,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.85,State forces (Cameroon)
mistral:7b,CAO12628,V,V,0.95,"[0.1, 0.05, 0.3, 0.05, 0.05, 0.4]",0.77,State forces (Cameroon)
mistral:7b,CAO3179,S,V,0.95,"[0.1, 0.05, 0.3, 0.05, 0.05, 0.4]",0.76,State forces (Cameroon)
mistral:7b,CAO12883,S,P,0.95,"[0.1, 0.2, 0.3, 0.2, 0.1, 0.1]",0.76,State forces (Cameroon)
mistral:7b,CAO15042,S,P,0.95,"[0.1, 0.05, 0.2, 0.05, 0.0, 0.6]",0.92,State forces (Cameroon)
mistral:7b,CAO12495,B,B,0.95,"[0.1, 0.2, 0.3, 0.15, 0.1, 0.15]",0.87,State forces (Cameroon)
mistral:7b,CAO14671,S,V,0.95,"[0.1, 0.05, 0.2, 0.02, 0.01, 0.63]",0.74,State forces (Cameroon)
mistral:7b,CAO4935,S,R,0.95,"[0.05, 0.05, 0.15, 0.4, 0.2, 0.15]",0.79,State forces (Cameroon)
mistral:7b,CAO8957,B,B,0.95,"[0.05, 0.1, 0.15, 0.3, 0.2, 0.2]",0.77,State forces (Cameroon)
mistral:7b,CAO10497,V,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.83,State forces (Cameroon)
mistral:7b,CAO12776,B,B,0.95,"[0.1, 0.35, 0.2, 0.1, 0.05, 0.15]",0.71,State forces (Cameroon)
mistral:7b,CAO4338,B,B,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.82,State forces (Cameroon)
mistral:7b,CAO13006,V,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.85,State forces (Cameroon)
mistral:7b,CAO4239,B,B,0.95,"[0.05, 0.05, 0.2, 0.1, 0.1, 0.4]",0.74,State forces (Cameroon)
mistral:7b,CAO8979,B,B,0.95,"[0.1, 0.25, 0.3, 0.1, 0.1, 0.15]",0.9,State forces (Cameroon)
mistral:7b,CAO13845,B,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.83,State forces (Cameroon)
mistral:7b,CAO15710,S,S,0.85,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.86,State forces (Cameroon)
mistral:7b,CAO8017,S,R,0.85,"[0.1, 0.05, 0.1, 0.2, 0.1, 0.35]",0.92,State forces (Cameroon)
mistral:7b,CAO4061,S,A,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.87,State forces (Cameroon)
mistral:7b,CAO9658,B,B,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.81,State forces (Cameroon)
mistral:7b,CAO8684,B,B,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.82,State forces (Cameroon)
mistral:7b,CAO7035,V,V,0.65,"[0.1, 0.2, 0.3, 0.1, 0.1, 0.1]",0.84,State forces (Cameroon)
mistral:7b,CAO15434,V,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.5]",0.95,State forces (Cameroon)
mistral:7b,CAO9461,B,B,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.86,State forces (Cameroon)
mistral:7b,CAO6455,B,B,0.85,"[0.1, 0.05, 0.2, 0.0, 0.0, 0.6]",0.93,State forces (Cameroon)
mistral:7b,CAO10195,V,V,0.85,"[0.1, 0.05, 0.07, 0.02, 0.01, 0.71]",0.8,State forces (Cameroon)
mistral:7b,CAO14814,V,V,0.95,"[0.1, 0.05, 0.3, 0.05, 0.05, 0.4]",0.8,State forces (Cameroon)
mistral:7b,CAO12973,S,E,0.95,"[0.05, 0.05, 0.2, 0.1, 0.1, 0.4]",0.76,State forces (Cameroon)
mistral:7b,CAO10023,B,B,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.8,State forces (Cameroon)
mistral:7b,CAO13959,B,V,0.95,"[0.1, 0.2, 0.3, 0.15, 0.1, 0.15]",0.93,State forces (Cameroon)
mistral:7b,CAO14643,B,B,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.83,State forces (Cameroon)
mistral:7b,CAO7944,B,B,0.95,"[0.1, 0.2, 0.3, 0.15, 0.1, 0.15]",0.89,State forces (Cameroon)
mistral:7b,CAO11497,S,V,0.95,"[0.1, 0.05, 0.2, 0.0, 0.0, 0.65]",0.95,State forces (Cameroon)
mistral:7b,CAO3671,B,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.0, 0.6]",0.81,State forces (Cameroon)
mistral:7b,CAO10403,B,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.0, 0.6]",0.96,State forces (Cameroon)
mistral:7b,CAO14548,S,V,0.85,"[0.1, 0.05, 0.15, 0.05, 0.05, 0.6]",0.82,State forces (Cameroon)
mistral:7b,CAO11480,V,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.5]",0.76,State forces (Cameroon)
mistral:7b,CAO11970,B,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.0, 0.6]",0.82,State forces (Cameroon)
mistral:7b,CAO9239,S,B,0.85,"[0.1, 0.15, 0.2, 0.25, 0.1, 0.15]",0.91,State forces (Cameroon)
mistral:7b,CAO12285,V,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.86,State forces (Cameroon)
mistral:7b,CAO3880,S,V,0.85,"[0.1, 0.15, 0.2, 0.2, 0.15, 0.15]",0.77,State forces (Cameroon)
mistral:7b,CAO9633,B,B,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.82,State forces (Cameroon)
mistral:7b,CAO4978,V,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.0, 0.6]",0.8,State forces (Cameroon)
mistral:7b,CAO4080,B,B,0.95,"[0.05, 0.1, 0.3, 0.05, 0.05, 0.4]",0.75,State forces (Cameroon)
mistral:7b,CAO6193,B,B,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.97,State forces (Cameroon)
mistral:7b,CAO3959,V,V,0.95,"[0.1, 0.05, 0.3, 0.05, 0.05, 0.4]",0.83,State forces (Cameroon)
mistral:7b,CAO15608,B,V,0.95,"[0.1, 0.05, 0.2, 0.3, 0.15, 0.2]",0.81,State forces (Cameroon)
mistral:7b,CAO11527,B,B,0.95,"[0.1, 0.05, 0.2, 0.03, 0.02, 0.6]",0.92,State forces (Cameroon)
mistral:7b,CAO9976,S,E,0.95,"[0.1, 0.05, 0.2, 0.0, 0.0, 0.65]",0.87,State forces (Cameroon)
mistral:7b,CAO9790,B,B,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.82,State forces (Cameroon)
mistral:7b,CAO2828,B,B,0.95,"[0.1, 0.3, 0.4, 0.05, 0.05, 0.05]",0.78,State forces (Cameroon)
mistral:7b,CAO12627,V,V,0.85,"[0.1, 0.05, 0.15, 0.2, 0.1, 0.3]",0.84,State forces (Cameroon)
mistral:7b,CAO13117,B,B,0.95,"[0.1, 0.05, 0.2, 0.05, 0.0, 0.6]",0.86,State forces (Cameroon)
mistral:7b,CAO3310,V,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.0, 0.6]",0.83,State forces (Cameroon)
mistral:7b,CAO6179,V,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.0, 0.6]",0.81,State forces (Cameroon)
mistral:7b,CAO13900,V,V,0.95,"[0.1, 0.05, 0.3, 0.05, 0.05, 0.4]",0.78,State forces (Cameroon)
mistral:7b,CAO14085,S,V,0.95,"[0.1, 0.05, 0.2, 0.0, 0.0, 0.65]",0.86,State forces (Cameroon)
mistral:7b,CAO15187,B,B,0.95,"[0.05, 0.05, 0.1, 0.2, 0.2, 0.35]",0.84,State forces (Cameroon)
mistral:7b,CAO9705,V,V,0.95,"[0.1, 0.05, 0.3, 0.05, 0.05, 0.4]",0.76,State forces (Cameroon)
mistral:7b,CAO6892,B,B,0.95,"[0.1, 0.2, 0.3, 0.15, 0.05, 0.15]",0.79,State forces (Cameroon)
mistral:7b,CAO5673,V,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.87,State forces (Cameroon)
mistral:7b,CAO2947,V,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.91,State forces (Cameroon)
mistral:7b,CAO10446,V,V,0.85,"[0.1, 0.15, 0.2, 0.25, 0.15, 0.15]",0.84,State forces (Cameroon)
mistral:7b,CAO10858,B,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.87,State forces (Cameroon)
mistral:7b,CAO5105,B,B,0.95,"[0.1, 0.2, 0.3, 0.15, 0.1, 0.15]",0.83,State forces (Cameroon)
mistral:7b,CAO11756,V,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.84,State forces (Cameroon)
mistral:7b,CAO7761,B,B,0.95,"[0.1, 0.2, 0.3, 0.15, 0.1, 0.15]",0.89,State forces (Cameroon)
mistral:7b,CAO5330,V,V,0.95,"[0.1, 0.05, 0.3, 0.05, 0.05, 0.4]",0.75,State forces (Cameroon)
mistral:7b,CAO15406,B,B,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",1.0,State forces (Cameroon)
mistral:7b,CAO6494,V,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.73,State forces (Cameroon)
mistral:7b,CAO8679,B,B,0.95,"[0.05, 0.05, 0.2, 0.1, 0.1, 0.45]",0.85,State forces (Cameroon)
mistral:7b,CAO11862,B,B,0.95,"[0.05, 0.05, 0.2, 0.1, 0.1, 0.4]",0.77,State forces (Cameroon)
mistral:7b,CAO7879,B,B,0.95,"[0.1, 0.35, 0.2, 0.1, 0.1, 0.15]",0.71,State forces (Cameroon)
mistral:7b,CAO3141,B,B,0.95,"[0.05, 0.05, 0.15, 0.4, 0.15, 0.2]",0.76,State forces (Cameroon)
mistral:7b,CAO5272,V,R,0.95,"[0.1, 0.05, 0.2, 0.3, 0.15, 0.2]",0.9,State forces (Cameroon)
mistral:7b,CAO13702,E,V,0.85,"[0.1, 0.05, 0.15, 0.0, 0.0, 0.7]",0.77,State forces (Cameroon)
mistral:7b,CAO12108,V,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.87,State forces (Cameroon)
mistral:7b,CAO3149,V,V,0.95,"[0.1, 0.05, 0.3, 0.05, 0.05, 0.4]",0.75,State forces (Cameroon)
mistral:7b,CAO12365,B,B,0.95,"[0.1, 0.2, 0.3, 0.15, 0.1, 0.15]",1.1,State forces (Cameroon)
mistral:7b,CAO4088,B,B,0.95,"[0.1, 0.25, 0.2, 0.1, 0.1, 0.25]",0.67,State forces (Cameroon)
mistral:7b,CAO7957,B,B,0.95,"[0.1, 0.2, 0.3, 0.15, 0.1, 0.15]",0.83,State forces (Cameroon)
mistral:7b,CAO8739,V,V,0.95,"[0.1, 0.05, 0.2, 0.03, 0.02, 0.6]",1.02,State forces (Cameroon)
mistral:7b,CAO4504,B,B,0.95,"[0.1, 0.2, 0.3, 0.15, 0.05, 0.15]",0.84,State forces (Cameroon)
mistral:7b,CAO14469,S,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.87,State forces (Cameroon)
mistral:7b,CAO4185,B,B,0.95,"[0.05, 0.85, 0.0, 0.0, 0.0, 0.1]",0.88,State forces (Cameroon)
mistral:7b,CAO15046,S,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.88,State forces (Cameroon)
mistral:7b,CAO10405,B,B,0.95,"[0.1, 0.05, 0.2, 0.05, 0.0, 0.6]",0.83,State forces (Cameroon)
mistral:7b,CAO8359,B,B,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.76,State forces (Cameroon)
mistral:7b,CAO11538,S,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.76,State forces (Cameroon)
mistral:7b,CAO9044,V,B,0.95,"[0.05, 0.05, 0.15, 0.2, 0.2, 0.35]",0.79,State forces (Cameroon)
mistral:7b,CAO12240,B,B,0.95,"[0.1, 0.2, 0.3, 0.15, 0.1, 0.15]",0.86,State forces (Cameroon)
mistral:7b,CAO11000,S,B,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.84,State forces (Cameroon)
mistral:7b,CAO6030,B,B,0.95,"[0.1, 0.2, 0.3, 0.15, 0.1, 0.15]",0.79,State forces (Cameroon)
mistral:7b,CAO6121,V,V,0.95,"[0.1, 0.05, 0.2, 0.0, 0.0, 0.65]",0.81,State forces (Cameroon)
mistral:7b,CAO5190,V,V,0.95,"[0.1, 0.05, 0.3, 0.02, 0.0, 0.58]",0.84,State forces (Cameroon)
mistral:7b,CAO3145,V,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.77,State forces (Cameroon)
mistral:7b,CAO9333,S,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.85,State forces (Cameroon)
mistral:7b,CAO3511,B,B,0.95,"[0.1, 0.3, 0.35, 0.05, 0.05, 0.15]",0.76,State forces (Cameroon)
mistral:7b,CAO9359,S,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.87,State forces (Cameroon)
mistral:7b,CAO12441,V,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.5]",0.84,State forces (Cameroon)
mistral:7b,CAO8023,S,E,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.5]",0.92,State forces (Cameroon)
mistral:7b,CAO3899,S,P,0.75,"[0.1, 0.15, 0.2, 0.2, 0.15, 0.15]",0.94,State forces (Cameroon)
mistral:7b,CAO5141,S,P,0.95,"[0.1, 0.05, 0.3, 0.2, 0.15, 0.2]",0.92,State forces (Cameroon)
mistral:7b,CAO6034,B,B,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.8,State forces (Cameroon)
mistral:7b,CAO12569,B,B,0.95,"[0.1, 0.2, 0.3, 0.15, 0.1, 0.15]",0.79,State forces (Cameroon)
mistral:7b,CAO15525,B,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.9,State forces (Cameroon)
mistral:7b,CAO8160,S,S,0.95,"[0.1, 0.05, 0.02, 0.01, 0.005, 0.81]",0.97,State forces (Cameroon)
mistral:7b,CAO7007,V,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.85,State forces (Cameroon)
mistral:7b,CAO5832,B,B,0.95,"[0.05, 0.05, 0.15, 0.1, 0.1, 0.55]",0.76,State forces (Cameroon)
mistral:7b,CAO15743,S,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.0, 0.6]",0.8,State forces (Cameroon)
mistral:7b,CAO5397,B,B,0.95,"[0.1, 0.2, 0.3, 0.15, 0.1, 0.15]",0.73,State forces (Cameroon)
mistral:7b,CAO4207,V,V,0.95,"[0.1, 0.05, 0.3, 0.05, 0.05, 0.4]",0.75,State forces (Cameroon)
mistral:7b,CAO4815,B,B,0.95,"[0.1, 0.2, 0.35, 0.1, 0.1, 0.15]",0.75,State forces (Cameroon)
mistral:7b,CAO3470,B,B,0.95,"[0.1, 0.35, 0.2, 0.1, 0.05, 0.2]",0.7,State forces (Cameroon)
mistral:7b,CAO9866,V,V,0.95,"[0.1, 0.05, 0.3, 0.05, 0.05, 0.4]",0.8,State forces (Cameroon)
mistral:7b,CAO15919,V,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.92,State forces (Cameroon)
mistral:7b,CAO7976,B,B,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.83,State forces (Cameroon)
mistral:7b,CAO12000,S,V,0.75,"[0.1, 0.15, 0.2, 0.2, 0.15, 0.15]",0.85,State forces (Cameroon)
mistral:7b,CAO6351,S,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.5]",0.88,State forces (Cameroon)
mistral:7b,CAO17219,V,V,0.95,"[0.1, 0.05, 0.3, 0.05, 0.05, 0.4]",0.77,State forces (Cameroon)
mistral:7b,CAO15901,S,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.88,State forces (Cameroon)
mistral:7b,CAO12651,B,B,0.95,"[0.1, 0.2, 0.3, 0.15, 0.1, 0.15]",0.77,State forces (Cameroon)
mistral:7b,CAO14256,S,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.86,State forces (Cameroon)
mistral:7b,CAO4741,V,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.0, 0.6]",0.82,State forces (Cameroon)
mistral:7b,CAO11427,B,B,0.95,"[0.1, 0.2, 0.25, 0.15, 0.1, 0.15]",0.83,State forces (Cameroon)
mistral:7b,CAO11938,B,B,0.95,"[0.1, 0.2, 0.3, 0.15, 0.1, 0.15]",0.98,State forces (Cameroon)
mistral:7b,CAO5844,B,B,0.95,"[0.1, 0.2, 0.3, 0.15, 0.1, 0.15]",0.78,State forces (Cameroon)
mistral:7b,CAO4188,B,V,0.95,"[0.1, 0.2, 0.3, 0.15, 0.1, 0.15]",1.0,State forces (Cameroon)
mistral:7b,CAO9208,B,B,0.85,"[0.1, 0.2, 0.25, 0.15, 0.1, 0.15]",0.79,State forces (Cameroon)
mistral:7b,CAO15607,B,B,0.95,"[0.1, 0.2, 0.3, 0.15, 0.1, 0.15]",0.9,State forces (Cameroon)
mistral:7b,CAO9136,B,B,0.95,"[0.1, 0.05, 0.2, 0.05, 0.0, 0.6]",0.83,State forces (Cameroon)
mistral:7b,CAO3916,V,V,0.95,"[0.1, 0.05, 0.3, 0.05, 0.05, 0.4]",0.78,State forces (Cameroon)
mistral:7b,CAO3960,B,B,0.95,"[0.1, 0.2, 0.35, 0.1, 0.05, 0.1]",0.73,State forces (Cameroon)
mistral:7b,CAO11829,S,V,0.95,"[0.1, 0.05, 0.2, 0.0, 0.0, 0.65]",0.96,State forces (Cameroon)
mistral:7b,CAO10061,S,V,0.95,"[0.1, 0.05, 0.2, 0.05, 0.0, 0.6]",0.8,State forces (Cameroon)
mistral:7b,CAO10413,S,P,0.95,"[0.05, 0.05, 0.15, 0.4, 0.2, 0.15]",0.81,State forces (Cameroon)
mistral:7b,CAO11065,B,B,0.95,"[0.1, 0.05, 0.2, 0.05, 0.05, 0.55]",0.85,State forces (Cameroon)
mistral:7b,CAO11682,S,V,0.95,"[0.1, 0.05, 0.2, 0.0, 0.0, 0.65]",0.9,State forces (Cameroon)
mistral:7b,CAO9470,B,B,0.95,"[0.1, 0.2, 0.3, 0.15, 0.1, 0.15]",0.84,State forces (Cameroon)
mistral:7b,CAO12712,V,V,0.95,"[0.1, 0.05, 0.3, 0.05, 0.05, 0.4]",0.75,State forces (Cameroon)
mistral:7b,CAO5093,B,B,0.95,"[0.1, 0.35, 0.2, 0.1, 0.05, 0.2]",0.69,State forces (Cameroon)
mistral:7b,CAO9474,S,B,0.65,"[0.1, 0.2, 0.35, 0.05, 0.05, 0.2]",0.76,State forces (Cameroon)
mistral:7b,CAO3385,B,B,0.95,"[0.1, 0.2, 0.3, 0.15, 0.05, 0.15]",0.84,State forces (Cameroon)
mistral:7b,CAO11977,S,V,0.35,"[0.1, 0.2, 0.15, 0.1, 0.15, 0.2]",0.94,State forces (Cameroon)
mistral:7b,CAO10307,V,V,0.95,"[0.1, 0.2, 0.3, 0.15, 0.05, 0.15]",0.81,State forces (Cameroon)
mistral:7b,CAO11073,B,B,0.95,"[0.1, 0.2, 0.3, 0.15, 0.05, 0.15]",0.77,State forces (Cameroon)
