model,label,precision,recall,f1,support
gemma3:4b,B,0.9642857142857143,0.7105263157894737,0.8181818181818182,76
gemma3:4b,E,0.0,0.0,0.0,2
gemma3:4b,S,1.0,0.12195121951219512,0.21739130434782608,41
gemma3:4b,V,0.5675675675675675,0.984375,0.72,64
llama3.2:3b,B,0.8769230769230769,0.8636363636363636,0.8702290076335878,66
llama3.2:3b,E,0.0,0.0,0.0,2
llama3.2:3b,S,0.8181818181818182,0.23684210526315788,0.3673469387755102,38
llama3.2:3b,V,0.5517241379310345,0.9142857142857143,0.6881720430107527,35
mistral:7b,B,0.9381443298969072,0.8425925925925926,0.8878048780487805,108
mistral:7b,E,0.0,0.0,0.0,1
mistral:7b,S,0.5,0.05263157894736842,0.09523809523809523,38
mistral:7b,V,0.6410256410256411,0.9615384615384616,0.7692307692307693,52
olmo2:7b,B,0.7884615384615384,0.9010989010989011,0.841025641025641,91
olmo2:7b,E,0.0,0.0,0.0,1
olmo2:7b,S,0.4166666666666667,0.11363636363636363,0.17857142857142858,44
olmo2:7b,V,0.803921568627451,0.7735849056603774,0.7884615384615384,53
