event_id,model,true_label,pred_label,pred_conf_temp,actor_norm,annotation_provenance,annotation_ambiguous_actor,annotation_verb_intensity,annotation_casualty_counts,annotation_passive_voice,annotation_notes
CAO2867,mistral:7b,S,V,0.8999999999999999,State forces (Cameroon),,,,,,
CAO4298,mistral:7b,B,V,0.98,State forces (Cameroon),,,,,,
CAO15728,mistral:7b,S,V,0.8999999999999999,State forces (Cameroon),,,,,,
CAO8950,mistral:7b,B,V,0.98,State forces (Cameroon),,,,,,
CAO4199,mistral:7b,B,V,0.8999999999999999,State forces (Cameroon),,,,,,
CAO9728,mistral:7b,S,V,0.75,State forces (Cameroon),,,,,,
CAO5065,mistral:7b,B,V,0.98,State forces (Cameroon),,,,,,
CAO14704,mistral:7b,S,V,0.65,State forces (Cameroon),,,,,,
CAO9333,mistral:7b,S,V,0.65,State forces (Cameroon),,,,,,
CAO12077,mistral:7b,B,V,0.98,State forces (Cameroon),,,,,,
CAO13082,mistral:7b,B,V,0.78,State forces (Cameroon),,,,,,
CAO15743,mistral:7b,S,V,0.75,State forces (Cameroon),,,,,,
CAO7219,mistral:7b,S,V,0.85,State forces (Cameroon),,,,,,
CAO9992,mistral:7b,B,V,0.85,State forces (Cameroon),,,,,,
CAO12379,mistral:7b,B,V,0.92,State forces (Cameroon),,,,,,
CAO14676,mistral:7b,S,V,0.85,State forces (Cameroon),,,,,,
CAO6151,olmo2:7b,B,V,0.85,State forces (Cameroon),,,,,,
CAO12077,olmo2:7b,B,V,0.8999999999999999,State forces (Cameroon),,,,,,
CAO12471,olmo2:7b,B,V,0.8999999999999999,State forces (Cameroon),,,,,,
CAO3243,olmo2:7b,S,V,0.85,State forces (Cameroon),,,,,,
CAO15743,olmo2:7b,S,V,0.85,State forces (Cameroon),,,,,,
CAO15043,olmo2:7b,S,V,0.85,State forces (Cameroon),,,,,,
CAO11393,gemma3:4b,B,V,0.85,State forces (Cameroon),,,,,,
CAO11115,gemma3:4b,S,V,0.8,State forces (Cameroon),,,,,,
CAO11983,gemma3:4b,S,V,0.8,State forces (Cameroon),,,,,,
CAO14932,gemma3:4b,B,V,0.85,State forces (Cameroon),,,,,,
CAO12892,gemma3:4b,S,V,0.8,State forces (Cameroon),,,,,,
CAO8950,gemma3:4b,B,V,0.85,State forces (Cameroon),,,,,,
CAO9208,gemma3:4b,B,V,0.85,State forces (Cameroon),,,,,,
CAO4705,gemma3:4b,S,V,0.75,State forces (Cameroon),,,,,,
CAO3901,gemma3:4b,S,V,0.85,State forces (Cameroon),,,,,,
CAO15046,gemma3:4b,S,V,0.85,State forces (Cameroon),,,,,,
CAO6151,gemma3:4b,B,V,0.85,State forces (Cameroon),,,,,,
CAO12077,gemma3:4b,B,V,0.8899999999999999,State forces (Cameroon),,,,,,
CAO6152,gemma3:4b,B,V,0.8800000000000001,State forces (Cameroon),,,,,,
CAO12471,gemma3:4b,B,V,0.8899999999999999,State forces (Cameroon),,,,,,
CAO14676,gemma3:4b,S,V,0.85,State forces (Cameroon),,,,,,
CAO14854,gemma3:4b,S,V,0.85,State forces (Cameroon),,,,,,
CAO9333,gemma3:4b,S,V,0.75,State forces (Cameroon),,,,,,
CAO11931,gemma3:4b,S,V,0.8,State forces (Cameroon),,,,,,
CAO9860,gemma3:4b,S,V,0.8,State forces (Cameroon),,,,,,
CAO11453,gemma3:4b,S,V,0.8,State forces (Cameroon),,,,,,
CAO11695,gemma3:4b,S,V,0.75,State forces (Cameroon),,,,,,
CAO9493,gemma3:4b,S,V,0.85,State forces (Cameroon),,,,,,
CAO3243,gemma3:4b,S,V,0.85,State forces (Cameroon),,,,,,
CAO4953,gemma3:4b,B,V,0.8800000000000001,State forces (Cameroon),,,,,,
CAO2867,gemma3:4b,S,V,0.85,State forces (Cameroon),,,,,,
CAO12596,gemma3:4b,B,V,0.85,State forces (Cameroon),,,,,,
CAO12509,gemma3:4b,S,V,0.8,State forces (Cameroon),,,,,,
CAO7337,gemma3:4b,S,V,0.85,State forces (Cameroon),,,,,,
CAO10410,gemma3:4b,S,V,0.8,State forces (Cameroon),,,,,,
CAO12197,gemma3:4b,S,V,0.85,State forces (Cameroon),,,,,,
CAO15246,gemma3:4b,S,V,0.85,State forces (Cameroon),,,,,,
CAO15743,gemma3:4b,S,V,0.85,State forces (Cameroon),,,,,,
CAO3671,gemma3:4b,B,V,0.85,State forces (Cameroon),,,,,,
CAO15906,gemma3:4b,S,V,0.8,State forces (Cameroon),,,,,,
CAO11652,gemma3:4b,B,V,0.85,State forces (Cameroon),,,,,,
CAO12520,gemma3:4b,B,V,0.85,State forces (Cameroon),,,,,,
CAO10401,gemma3:4b,S,V,0.75,State forces (Cameroon),,,,,,
CAO14795,gemma3:4b,S,V,0.85,State forces (Cameroon),,,,,,
CAO11454,gemma3:4b,S,V,0.85,State forces (Cameroon),,,,,,
CAO15037,gemma3:4b,S,V,0.8,State forces (Cameroon),,,,,,
CAO13380,gemma3:4b,B,V,0.85,State forces (Cameroon),,,,,,
CAO11562,gemma3:4b,B,V,0.8899999999999999,State forces (Cameroon),,,,,,
CAO5094,gemma3:4b,B,V,0.85,State forces (Cameroon),,,,,,
CAO11049,gemma3:4b,S,V,0.85,State forces (Cameroon),,,,,,
CAO15043,gemma3:4b,S,V,0.75,State forces (Cameroon),,,,,,
CAO11075,gemma3:4b,B,V,0.8899999999999999,State forces (Cameroon),,,,,,
CAO11393,llama3.2:3b,B,V,0.92,State forces (Cameroon),,,,,,
CAO11115,llama3.2:3b,S,V,0.85,State forces (Cameroon),,,,,,
CAO11983,llama3.2:3b,S,V,0.92,State forces (Cameroon),,,,,,
CAO4309,llama3.2:3b,B,V,0.92,State forces (Cameroon),,,,,,
CAO14932,llama3.2:3b,B,V,0.92,State forces (Cameroon),,,,,,
CAO12892,llama3.2:3b,S,V,0.85,State forces (Cameroon),,,,,,
CAO13957,llama3.2:3b,B,V,0.92,State forces (Cameroon),,,,,,
CAO8950,llama3.2:3b,B,V,0.92,State forces (Cameroon),,,,,,
CAO10812,llama3.2:3b,B,V,0.92,State forces (Cameroon),,,,,,
CAO9208,llama3.2:3b,B,V,0.85,State forces (Cameroon),,,,,,
CAO3901,llama3.2:3b,S,V,0.92,State forces (Cameroon),,,,,,
CAO15046,llama3.2:3b,S,V,0.92,State forces (Cameroon),,,,,,
CAO6151,llama3.2:3b,B,V,0.85,State forces (Cameroon),,,,,,
CAO12077,llama3.2:3b,B,V,0.92,State forces (Cameroon),,,,,,
CAO6152,llama3.2:3b,B,V,0.92,State forces (Cameroon),,,,,,
CAO12471,llama3.2:3b,B,V,0.92,State forces (Cameroon),,,,,,
CAO14078,llama3.2:3b,B,V,0.92,State forces (Cameroon),,,,,,
CAO5023,llama3.2:3b,B,V,0.92,State forces (Cameroon),,,,,,
CAO14676,llama3.2:3b,S,V,0.92,State forces (Cameroon),,,,,,
CAO14854,llama3.2:3b,S,V,0.92,State forces (Cameroon),,,,,,
CAO11931,llama3.2:3b,S,V,0.85,State forces (Cameroon),,,,,,
CAO14085,llama3.2:3b,S,V,0.92,State forces (Cameroon),,,,,,
CAO11453,llama3.2:3b,S,V,0.92,State forces (Cameroon),,,,,,
CAO9493,llama3.2:3b,S,V,0.92,State forces (Cameroon),,,,,,
CAO13117,llama3.2:3b,B,V,0.92,State forces (Cameroon),,,,,,
CAO4953,llama3.2:3b,B,V,0.92,State forces (Cameroon),,,,,,
CAO3869,llama3.2:3b,B,V,0.85,State forces (Cameroon),,,,,,
CAO2867,llama3.2:3b,S,V,0.92,State forces (Cameroon),,,,,,
CAO12596,llama3.2:3b,B,V,0.92,State forces (Cameroon),,,,,,
CAO12509,llama3.2:3b,S,V,0.92,State forces (Cameroon),,,,,,
CAO9963,llama3.2:3b,S,V,0.85,State forces (Cameroon),,,,,,
CAO12197,llama3.2:3b,S,V,0.92,State forces (Cameroon),,,,,,
CAO15246,llama3.2:3b,S,V,0.92,State forces (Cameroon),,,,,,
CAO6193,llama3.2:3b,B,V,0.92,State forces (Cameroon),,,,,,
