model,event_id,true_label,pred_label,pred_conf,logits,latency_sec,actor_norm
gemma3:4b,CAO13652,V,V,0.85,"[0.1, 0.05, 0.03, 0.12, 0.15, 0.15]",1.12,State forces (Cameroon)
gemma3:4b,CAO5524,V,V,0.85,"[0.05, 0.1, 0.08, 0.03, 0.12, 0.06]",1.04,State forces (Cameroon)
gemma3:4b,CAO13860,V,V,0.85,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.2]",1.1,State forces (Cameroon)
gemma3:4b,CAO11648,V,V,0.85,"[0.05, 0.1, 0.15, 0.2, 0.3, 0.2]",1.11,State forces (Cameroon)
gemma3:4b,CAO12246,B,V,0.85,"[0.1, 0.05, 0.15, 0.3, 0.2, 0.2]",1.08,State forces (Cameroon)
gemma3:4b,CAO5148,V,V,0.85,"[0.1, 0.05, 0.15, 0.2, 0.3, 0.2]",1.11,State forces (Cameroon)
gemma3:4b,CAO11975,V,V,0.85,"[0.1, 0.05, 0.03, 0.02, 0.05, 0.05]",1.07,State forces (Cameroon)
gemma3:4b,CAO7653,V,V,0.75,"[0.1, 0.05, 0.15, 0.1, 0.2, 0.2]",1.1,State forces (Cameroon)
gemma3:4b,CAO11405,S,V,0.85,"[0.1, 0.05, 0.15, 0.2, 0.3, 0.2]",1.1,State forces (Cameroon)
gemma3:4b,CAO15096,B,B,0.92,"[0.05, 0.92, 0.03, 0.02, 0.01, 0.01]",1.06,State forces (Cameroon)
gemma3:4b,CAO5005,S,R,0.8,"[0.05, 0.03, 0.04, 0.08, 0.03, 0.01]",1.07,State forces (Cameroon)
gemma3:4b,CAO5007,B,V,0.85,"[0.1, 0.05, 0.15, 0.1, 0.25, 0.15]",1.1,State forces (Cameroon)
gemma3:4b,CAO12628,V,V,0.85,"[0.1, 0.05, 0.15, 0.1, 0.25, 0.15]",1.1,State forces (Cameroon)
gemma3:4b,CAO3179,S,V,0.85,"[0.05, 0.1, 0.08, 0.03, 0.12, 0.06]",1.08,State forces (Cameroon)
gemma3:4b,CAO12883,S,V,0.8,"[0.1, 0.05, 0.03, 0.15, 0.15, 0.07]",1.13,State forces (Cameroon)
gemma3:4b,CAO15042,S,S,0.8,"[0.05, 0.03, 0.04, 0.07, 0.03, 0.01]",1.1,State forces (Cameroon)
gemma3:4b,CAO12495,B,B,0.92,"[0.05, 0.92, 0.03, 0.02, 0.01, 0.01]",1.08,State forces (Cameroon)
