model,prob_col,threshold,accepted,coverage,correct,accuracy,total_valid
mistral:7b,pred_conf,0.0,200,1.0,149,0.745,200
mistral:7b,pred_conf,0.1,200,1.0,149,0.745,200
mistral:7b,pred_conf,0.2,200,1.0,149,0.745,200
mistral:7b,pred_conf,0.3,200,1.0,149,0.745,200
mistral:7b,pred_conf,0.4,200,1.0,149,0.745,200
mistral:7b,pred_conf,0.5,200,1.0,149,0.745,200
mistral:7b,pred_conf,0.6,200,1.0,149,0.745,200
mistral:7b,pred_conf,0.7,197,0.985,149,0.756,200
mistral:7b,pred_conf,0.8,178,0.89,140,0.787,200
mistral:7b,pred_conf,0.9,163,0.815,134,0.822,200
mistral:7b,pred_conf,0.95,133,0.665,109,0.82,200
mistral:7b,pred_conf,0.99,1,0.005,0,0.0,200
mistral:7b,pred_conf_iso,0.0,200,1.0,149,0.745,200
mistral:7b,pred_conf_iso,0.1,200,1.0,149,0.745,200
mistral:7b,pred_conf_iso,0.2,200,1.0,149,0.745,200
mistral:7b,pred_conf_iso,0.3,197,0.985,149,0.756,200
mistral:7b,pred_conf_iso,0.4,179,0.895,140,0.782,200
mistral:7b,pred_conf_iso,0.5,179,0.895,140,0.782,200
mistral:7b,pred_conf_iso,0.6,163,0.815,134,0.822,200
mistral:7b,pred_conf_iso,0.7,163,0.815,134,0.822,200
mistral:7b,pred_conf_iso,0.8,117,0.585,97,0.829,200
mistral:7b,pred_conf_iso,0.9,0,0.0,0,,200
mistral:7b,pred_conf_iso,0.95,0,0.0,0,,200
mistral:7b,pred_conf_iso,0.99,0,0.0,0,,200
mistral:7b,pred_conf_temp,0.0,200,1.0,149,0.745,200
mistral:7b,pred_conf_temp,0.1,200,1.0,149,0.745,200
mistral:7b,pred_conf_temp,0.2,200,1.0,149,0.745,200
mistral:7b,pred_conf_temp,0.3,200,1.0,149,0.745,200
mistral:7b,pred_conf_temp,0.4,200,1.0,149,0.745,200
mistral:7b,pred_conf_temp,0.5,200,1.0,149,0.745,200
mistral:7b,pred_conf_temp,0.6,200,1.0,149,0.745,200
mistral:7b,pred_conf_temp,0.7,197,0.985,149,0.756,200
mistral:7b,pred_conf_temp,0.8,178,0.89,140,0.787,200
mistral:7b,pred_conf_temp,0.9,137,0.685,111,0.81,200
mistral:7b,pred_conf_temp,0.95,117,0.585,97,0.829,200
mistral:7b,pred_conf_temp,0.99,1,0.005,0,0.0,200
