model,label,precision,recall,f1,support
gemma3:4b,B,0.9375,0.32967032967032966,0.4878048780487805,91
gemma3:4b,E,0.0,0.0,0.0,2
gemma3:4b,S,1.0,0.0425531914893617,0.08163265306122448,47
gemma3:4b,V,0.3881578947368421,0.9833333333333333,0.5566037735849056,60
llama3.2:3b,B,0.9571428571428572,0.7362637362637363,0.8322981366459627,91
llama3.2:3b,E,0.09090909090909091,0.5,0.15384615384615385,2
llama3.2:3b,S,0.6111111111111112,0.23404255319148937,0.3384615384615385,47
llama3.2:3b,V,0.5617977528089888,0.8333333333333334,0.6711409395973155,60
mistral:7b,B,0.9555555555555556,0.8686868686868687,0.91005291005291,99
mistral:7b,E,0.0,0.0,0.0,3
mistral:7b,S,0.8095238095238095,0.3953488372093023,0.53125,43
mistral:7b,V,0.6885245901639344,0.7636363636363637,0.7241379310344828,55
olmo2:7b,B,0.9032258064516129,0.9230769230769231,0.9130434782608695,91
olmo2:7b,E,0.05555555555555555,0.5,0.1,2
olmo2:7b,S,0.75,0.5106382978723404,0.6075949367088608,47
olmo2:7b,V,0.9074074074074074,0.8166666666666667,0.8596491228070176,60
