model,event_id,true_label,pred_label,pred_conf,logits,latency_sec,actor_norm
mistral:7b,CAO13652,V,R,0.85,"[0.04, 0.03, 0.02, 0.01, 0.06, 0.85]",0.82,State forces (Cameroon)
mistral:7b,CAO5524,V,V,0.95,"[0.02, 0.01, 0.01, 0.01, 0.01, 0.95]",0.59,State forces (Cameroon)
mistral:7b,CAO13860,V,V,0.95,"[0.02, 0.01, 0.0, 0.0, 0.0, 0.95]",0.6,State forces (Cameroon)
mistral:7b,CAO11648,V,V,0.95,"[0.02, 0.01, 0.01, 0.01, 0.01, 0.95]",0.6,State forces (Cameroon)
mistral:7b,CAO12246,B,B,0.95,"[0.02, 0.03, 0.01, 0.01, 0.0, 0.95]",0.6,State forces (Cameroon)
mistral:7b,CAO5148,V,V,0.98,"[0.02, 0.0, 0.0, 0.0, 0.0, 0.98]",0.58,State forces (Cameroon)
mistral:7b,CAO11975,V,R,0.75,"[0.1, 0.05, 0.02, 0.03, 0.08, 0.75]",0.59,State forces (Cameroon)
mistral:7b,CAO7653,V,R,0.75,"[0.1, 0.05, 0.02, 0.03, 0.05, 0.75]",0.6,State forces (Cameroon)
mistral:7b,CAO11405,S,S,0.85,"[0.04, 0.03, 0.02, 0.01, 0.01, 0.85]",0.59,State forces (Cameroon)
mistral:7b,CAO15096,B,B,0.98,"[0.02, 0.0, 0.0, 0.0, 0.0, 0.98]",0.6,State forces (Cameroon)
mistral:7b,CAO5005,S,R,0.75,"[0.1, 0.05, 0.02, 0.03, 0.05, 0.75]",0.6,State forces (Cameroon)
mistral:7b,CAO5007,B,B,0.95,"[0.02, 0.03, 0.01, 0.0, 0.0, 0.95]",0.59,State forces (Cameroon)
mistral:7b,CAO12628,V,V,0.95,"[0.02, 0.01, 0.01, 0.01, 0.01, 0.95]",0.6,State forces (Cameroon)
mistral:7b,CAO3179,S,R,0.75,"[0.1, 0.05, 0.02, 0.03, 0.05, 0.75]",0.59,State forces (Cameroon)
mistral:7b,CAO12883,S,R,0.75,"[0.1, 0.05, 0.02, 0.03, 0.05, 0.75]",0.59,State forces (Cameroon)
mistral:7b,CAO15042,S,R,0.85,"[0.04, 0.03, 0.02, 0.1, 0.0, 0.85]",0.6,State forces (Cameroon)
mistral:7b,CAO12495,B,B,0.98,"[0.02, 0.0, 0.0, 0.0, 0.0, 0.98]",0.59,State forces (Cameroon)
mistral:7b,CAO14671,S,S,0.85,"[0.04, 0.03, 0.02, 0.01, 0.04, 0.85]",0.6,State forces (Cameroon)
mistral:7b,CAO4935,S,V,0.75,"[0.12, 0.06, 0.03, 0.02, 0.02, 0.75]",0.59,State forces (Cameroon)
mistral:7b,CAO8957,B,B,0.95,"[0.02, 0.03, 0.01, 0.0, 0.0, 0.94]",0.58,State forces (Cameroon)
mistral:7b,CAO10497,V,V,0.85,"[0.06, 0.04, 0.1, 0.0, 0.0, 0.8]",0.61,State forces (Cameroon)
mistral:7b,CAO12776,B,B,0.95,"[0.02, 0.03, 0.01, 0.01, 0.01, 0.95]",0.56,State forces (Cameroon)
mistral:7b,CAO4338,B,B,0.95,"[0.02, 0.01, 0.01, 0.01, 0.01, 0.95]",0.59,State forces (Cameroon)
mistral:7b,CAO13006,V,R,0.85,"[0.06, 0.04, 0.01, 0.04, 0.02, 0.85]",0.58,State forces (Cameroon)
mistral:7b,CAO4239,B,B,0.98,"[0.02, 0.0, 0.0, 0.0, 0.0, 0.98]",0.59,State forces (Cameroon)
mistral:7b,CAO8979,B,B,0.95,"[0.02, 0.01, 0.01, 0.01, 0.01, 0.95]",0.61,State forces (Cameroon)
mistral:7b,CAO13845,B,V,0.85,"[0.06, 0.04, 0.1, 0.02, 0.03, 0.74]",0.59,State forces (Cameroon)
mistral:7b,CAO15710,S,V,0.65,"[0.12, 0.08, 0.15, 0.03, 0.07, 0.59]",0.58,State forces (Cameroon)
mistral:7b,CAO8017,S,R,0.85,"[0.04, 0.03, 0.02, 0.1, 0.0, 0.85]",0.6,State forces (Cameroon)
mistral:7b,CAO4061,S,R,0.85,"[0.06, 0.04, 0.02, 0.01, 0.03, 0.85]",0.6,State forces (Cameroon)
mistral:7b,CAO9658,B,B,0.95,"[0.02, 0.03, 0.01, 0.0, 0.0, 0.94]",0.59,State forces (Cameroon)
mistral:7b,CAO8684,B,B,0.95,"[0.02, 0.03, 0.01, 0.01, 0.01, 0.95]",0.61,State forces (Cameroon)
mistral:7b,CAO7035,V,S,0.65,"[0.2, 0.1, 0.1, 0.05, 0.05, 0.4]",0.59,State forces (Cameroon)
