event_id,true_label,actor_norm,pred_label_mistral:7b,pred_label_olmo2:7b,pred_prob_mistral:7b,pred_prob_olmo2:7b,disagreement_count,max_confidence
CAO13006,V,State forces (Cameroon),R,V,0.85,0.9499999999999998,2,0.9499999999999998
CAO4315,V,State forces (Cameroon),R,V,0.65,0.9499999999999998,2,0.9499999999999998
CAO3443,V,State forces (Cameroon),R,V,0.85,0.9499999999999998,2,0.9499999999999998
CAO11393,B,State forces (Cameroon),V,B,0.9499999999999998,0.93,2,0.9499999999999998
CAO11652,B,State forces (Cameroon),V,S,0.9499999999999998,0.75,2,0.9499999999999998
CAO9208,B,State forces (Cameroon),S,B,0.9499999999999998,0.93,2,0.9499999999999998
CAO13743,B,State forces (Cameroon),S,B,0.9499999999999998,0.93,2,0.9499999999999998
CAO11695,S,State forces (Cameroon),R,E,0.75,0.9499999999999998,2,0.9499999999999998
CAO2838,V,State forces (Cameroon),R,V,0.75,0.9499999999999998,2,0.9499999999999998
CAO11121,B,State forces (Cameroon),B,S,0.9499999999999998,0.75,2,0.9499999999999998
CAO10410,S,State forces (Cameroon),R,V,0.75,0.9499999999999998,2,0.9499999999999998
CAO13702,E,State forces (Cameroon),S,E,0.9499999999999998,0.9499999999999998,2,0.9499999999999998
CAO3752,V,State forces (Cameroon),V,S,0.9499999999999998,0.75,2,0.9499999999999998
CAO6151,B,State forces (Cameroon),V,B,0.9499999999999998,0.93,2,0.9499999999999998
CAO3671,B,State forces (Cameroon),V,B,0.94,0.93,2,0.94
CAO14085,S,State forces (Cameroon),R,S,0.85,0.75,2,0.85
CAO2867,S,State forces (Cameroon),V,B,0.85,0.85,2,0.85
CAO12863,V,State forces (Cameroon),V,S,0.85,0.75,2,0.85
CAO14676,S,State forces (Cameroon),V,S,0.75,0.75,2,0.75
CAO5005,S,State forces (Cameroon),R,S,0.75,0.75,2,0.75
