model,prob_col,threshold,accepted,coverage,correct,accuracy,total_valid
llama3.2,pred_conf,0.0,20,1.0,15,0.75,20
llama3.2,pred_conf,0.1,20,1.0,15,0.75,20
llama3.2,pred_conf,0.2,20,1.0,15,0.75,20
llama3.2,pred_conf,0.3,20,1.0,15,0.75,20
llama3.2,pred_conf,0.4,20,1.0,15,0.75,20
llama3.2,pred_conf,0.5,20,1.0,15,0.75,20
llama3.2,pred_conf,0.6,20,1.0,15,0.75,20
llama3.2,pred_conf,0.7,20,1.0,15,0.75,20
llama3.2,pred_conf,0.8,20,1.0,15,0.75,20
llama3.2,pred_conf,0.9,20,1.0,15,0.75,20
llama3.2,pred_conf,0.95,11,0.55,10,0.909,20
llama3.2,pred_conf,0.99,11,0.55,10,0.909,20
qwen2.5,pred_conf,0.0,20,1.0,16,0.8,20
qwen2.5,pred_conf,0.1,20,1.0,16,0.8,20
qwen2.5,pred_conf,0.2,20,1.0,16,0.8,20
qwen2.5,pred_conf,0.3,20,1.0,16,0.8,20
qwen2.5,pred_conf,0.4,20,1.0,16,0.8,20
qwen2.5,pred_conf,0.5,20,1.0,16,0.8,20
qwen2.5,pred_conf,0.6,20,1.0,16,0.8,20
qwen2.5,pred_conf,0.7,20,1.0,16,0.8,20
qwen2.5,pred_conf,0.8,20,1.0,16,0.8,20
qwen2.5,pred_conf,0.9,20,1.0,16,0.8,20
qwen2.5,pred_conf,0.95,20,1.0,16,0.8,20
qwen2.5,pred_conf,0.99,19,0.95,16,0.842,20
mistral,pred_conf,0.0,20,1.0,16,0.8,20
mistral,pred_conf,0.1,20,1.0,16,0.8,20
mistral,pred_conf,0.2,20,1.0,16,0.8,20
mistral,pred_conf,0.3,20,1.0,16,0.8,20
mistral,pred_conf,0.4,20,1.0,16,0.8,20
mistral,pred_conf,0.5,20,1.0,16,0.8,20
mistral,pred_conf,0.6,20,1.0,16,0.8,20
mistral,pred_conf,0.7,20,1.0,16,0.8,20
mistral,pred_conf,0.8,20,1.0,16,0.8,20
mistral,pred_conf,0.9,14,0.7,13,0.929,20
mistral,pred_conf,0.95,14,0.7,13,0.929,20
mistral,pred_conf,0.99,0,0.0,0,,20
llama3.2,pred_conf_iso,0.0,20,1.0,15,0.75,20
llama3.2,pred_conf_iso,0.1,20,1.0,15,0.75,20
llama3.2,pred_conf_iso,0.2,20,1.0,15,0.75,20
llama3.2,pred_conf_iso,0.3,20,1.0,15,0.75,20
llama3.2,pred_conf_iso,0.4,20,1.0,15,0.75,20
llama3.2,pred_conf_iso,0.5,20,1.0,15,0.75,20
llama3.2,pred_conf_iso,0.6,11,0.55,10,0.909,20
llama3.2,pred_conf_iso,0.7,11,0.55,10,0.909,20
llama3.2,pred_conf_iso,0.8,11,0.55,10,0.909,20
llama3.2,pred_conf_iso,0.9,11,0.55,10,0.909,20
llama3.2,pred_conf_iso,0.95,0,0.0,0,,20
llama3.2,pred_conf_iso,0.99,0,0.0,0,,20
qwen2.5,pred_conf_iso,0.0,20,1.0,16,0.8,20
qwen2.5,pred_conf_iso,0.1,19,0.95,16,0.842,20
qwen2.5,pred_conf_iso,0.2,19,0.95,16,0.842,20
qwen2.5,pred_conf_iso,0.3,19,0.95,16,0.842,20
qwen2.5,pred_conf_iso,0.4,19,0.95,16,0.842,20
qwen2.5,pred_conf_iso,0.5,19,0.95,16,0.842,20
qwen2.5,pred_conf_iso,0.6,19,0.95,16,0.842,20
qwen2.5,pred_conf_iso,0.7,19,0.95,16,0.842,20
qwen2.5,pred_conf_iso,0.8,19,0.95,16,0.842,20
qwen2.5,pred_conf_iso,0.9,0,0.0,0,,20
qwen2.5,pred_conf_iso,0.95,0,0.0,0,,20
qwen2.5,pred_conf_iso,0.99,0,0.0,0,,20
mistral,pred_conf_iso,0.0,20,1.0,16,0.8,20
mistral,pred_conf_iso,0.1,20,1.0,16,0.8,20
mistral,pred_conf_iso,0.2,20,1.0,16,0.8,20
mistral,pred_conf_iso,0.3,20,1.0,16,0.8,20
mistral,pred_conf_iso,0.4,20,1.0,16,0.8,20
mistral,pred_conf_iso,0.5,20,1.0,16,0.8,20
mistral,pred_conf_iso,0.6,14,0.7,13,0.929,20
mistral,pred_conf_iso,0.7,14,0.7,13,0.929,20
mistral,pred_conf_iso,0.8,14,0.7,13,0.929,20
mistral,pred_conf_iso,0.9,14,0.7,13,0.929,20
mistral,pred_conf_iso,0.95,0,0.0,0,,20
mistral,pred_conf_iso,0.99,0,0.0,0,,20
llama3.2,pred_conf_temp,0.0,20,1.0,15,0.75,20
llama3.2,pred_conf_temp,0.1,20,1.0,15,0.75,20
llama3.2,pred_conf_temp,0.2,20,1.0,15,0.75,20
llama3.2,pred_conf_temp,0.3,20,1.0,15,0.75,20
llama3.2,pred_conf_temp,0.4,20,1.0,15,0.75,20
llama3.2,pred_conf_temp,0.5,20,1.0,15,0.75,20
