model,event_id,true_label,pred_label,pred_conf,logits,latency_sec,actor_norm
qwen3:1.7b,CAO6346,V,V,0.9,"[0.9, 0.1, 0.0, 0.0, 0.0, 0.0]",4.65,State forces (Cameroon)
qwen3:1.7b,CAO4935,S,V,0.9,"[0.9, 0.1, 0.0, 0.0, 0.0, 0.0]",5.9,State forces (Cameroon)
qwen3:1.7b,CAO12122,V,V,0.9,"[0.9, 0.1, 0.0, 0.0, 0.0, 0.0]",5.74,State forces (Cameroon)
qwen3:1.7b,CAO13748,V,V,0.9,"[0.9, 0.1, 0.0, 0.0, 0.0, 0.0]",5.11,State forces (Cameroon)
qwen3:1.7b,CAO13564,B,V,0.9,"[0.9, 0.1, 0.0, 0.0, 0.0, 0.0]",14.84,State forces (Cameroon)
qwen3:4b,CAO6346,V,V,0.9,"[0.9, 0.1, 0.0, 0.0, 0.0, 0.0]",25.92,State forces (Cameroon)
qwen3:4b,CAO4935,S,V,0.9,"[0.9, 0.1, 0.0, 0.0, 0.0, 0.0]",35.44,State forces (Cameroon)
qwen3:4b,CAO12122,V,V,0.9,"[0.9, 0.1, 0.0, 0.0, 0.0, 0.0]",110.63,State forces (Cameroon)
qwen3:4b,CAO13748,V,V,0.9,"[0.9, 0.1, 0.0, 0.0, 0.0, 0.0]",20.85,State forces (Cameroon)
qwen3:4b,CAO13564,B,B,0.9,"[0.1, 0.9, 0.0, 0.0, 0.0, 0.0]",92.77,State forces (Cameroon)
qwen3:8b,CAO6346,V,V,0.9,"[0.9, 0.1, 0.0, 0.0, 0.0, 0.0]",30.45,State forces (Cameroon)
qwen3:8b,CAO4935,S,V,0.9,"[0.9, 0.1, 0.0, 0.0, 0.0, 0.0]",36.64,State forces (Cameroon)
qwen3:8b,CAO12122,V,V,0.9,"[0.9, 0.1, 0.0, 0.0, 0.0, 0.0]",65.04,State forces (Cameroon)
qwen3:8b,CAO13748,V,V,0.9,"[0.9, 0.1, 0.0, 0.0, 0.0, 0.0]",24.72,State forces (Cameroon)
qwen3:8b,CAO13564,B,B,0.9,"[0.1, 0.9, 0.0, 0.0, 0.0, 0.0]",32.59,State forces (Cameroon)
