model,event_id,true_label,pred_label,pred_conf,logits,latency_sec,actor_norm
llama3.2,CAO13748,V,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4.54,State forces (Cameroon)
llama3.2,CAO4935,S,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.17,State forces (Cameroon)
llama3.2,CAO2846,B,V,0.9,"[0, 0, 0, 0, 0, 0.1]",1.86,State forces (Cameroon)
llama3.2,CAO6346,V,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.24,State forces (Cameroon)
llama3.2,CAO9881,V,V,0.9,"[0.8, 0.1, 0.05, 0.01, 0.005, 0.01]",2.15,State forces (Cameroon)
llama3.2,CAO5487,V,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.18,State forces (Cameroon)
llama3.2,CAO12605,V,B,0.9,"[0.05, 0.85, 0.01, 0.03, 0.02, 0.04]",2.16,State forces (Cameroon)
llama3.2,CAO12475,V,V,1.0,"[1, 0, 0, 0, 0, 0]",1.81,State forces (Cameroon)
llama3.2,CAO7409,S,B,0.9,"[0.01, 0.85, 0.02, 0.01, 0.01, 0.0]",2.25,State forces (Cameroon)
llama3.2,CAO3384,B,B,0.9,"[0.05, 0.85, 0.01, 0.02, 0.03, 0.04]",2.17,State forces (Cameroon)
llama3.2,CAO12227,B,B,1.0,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",2.52,State forces (Cameroon)
llama3.2,CAO12122,V,V,0.9,"[0, 0, 0, 0, 0, 0.1]",2.0,State forces (Cameroon)
llama3.2,CAO4139,V,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.27,State forces (Cameroon)
llama3.2,CAO11454,S,V,0.9,"[0.8, 0.1, 0.05, 0.01, 0.005, 0.005]",2.25,State forces (Cameroon)
llama3.2,CAO4242,V,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.21,State forces (Cameroon)
llama3.2,CAO13564,B,B,1.0,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",2.3,State forces (Cameroon)
llama3.2,CAO10471,V,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.37,State forces (Cameroon)
llama3.2,CAO4773,V,V,0.9,"[0.8, 0.1, 0.05, 0.01, 0.005, 0.005]",2.12,State forces (Cameroon)
llama3.2,CAO4808,B,B,0.9,"[0.05, 0.85, 0.01, 0.02, 0.03, 0.04]",2.28,State forces (Cameroon)
llama3.2,CAO10307,V,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.24,State forces (Cameroon)
qwen2.5,CAO13748,V,V,1.0,"[0.95, 0.04, 0.01, 0.02, 0.03, 0.05]",10.67,State forces (Cameroon)
qwen2.5,CAO4935,S,V,1.0,"[1.0, -2.3, -1.5, -3.4, -2.8, -2.9]",6.3,State forces (Cameroon)
qwen2.5,CAO2846,B,V,1.0,"[0.95, 0.03, 0.02, 0.01, 0.005, 0.0]",5.81,State forces (Cameroon)
qwen2.5,CAO6346,V,V,1.0,"[0.95, 0.03, 0.01, 0.005, 0.002, 0.001]",5.76,State forces (Cameroon)
