model,event_id,true_label,pred_label,pred_conf,logits,latency_sec,actor_norm,pred_conf_iso,pred_conf_temp,prob_V,prob_B,prob_E,prob_P,prob_R,prob_S
llama3.2,CAO13748,V,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4.54,State forces (Cameroon),0.9090909090909091,0.8299874217980195,0.7560406795795815,0.04879186408393246,0.04879186408393246,0.04879186408393246,0.04879186408393246,0.04879186408393246
llama3.2,CAO4935,S,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.17,State forces (Cameroon),0.9090909090909091,0.8299874217980195,0.7560406795795815,0.04879186408393246,0.04879186408393246,0.04879186408393246,0.04879186408393246,0.04879186408393246
llama3.2,CAO2846,B,V,0.9,"[0, 0, 0, 0, 0, 0.1]",1.86,State forces (Cameroon),0.5555555555555556,0.5314788656646232,0.15834598820186427,0.15834598820186427,0.15834598820186427,0.15834598820186427,0.15834598820186427,0.2082700589904703
llama3.2,CAO6346,V,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.24,State forces (Cameroon),0.9090909090909091,0.8299874217980195,0.7560406795795815,0.04879186408393246,0.04879186408393246,0.04879186408393246,0.04879186408393246,0.04879186408393246
llama3.2,CAO9881,V,V,0.9,"[0.8, 0.1, 0.05, 0.01, 0.005, 0.01]",2.15,State forces (Cameroon),0.5555555555555556,0.5314788656646232,0.6182116897138314,0.09078179916250656,0.07915692190832097,0.07093833449215316,0.06997292023041633,0.07093833449215316
llama3.2,CAO5487,V,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.18,State forces (Cameroon),0.9090909090909091,0.8299874217980195,0.7560406795795815,0.04879186408393246,0.04879186408393246,0.04879186408393246,0.04879186408393246,0.04879186408393246
llama3.2,CAO12605,V,B,0.9,"[0.05, 0.85, 0.01, 0.03, 0.02, 0.04]",2.16,State forces (Cameroon),0.5555555555555556,0.5314788656646232,0.07302581523098671,0.6540856429463945,0.06544379926012954,0.0691309394756357,0.0672621091381148,0.07105169394808472
llama3.2,CAO12475,V,V,1.0,"[1, 0, 0, 0, 0, 0]",1.81,State forces (Cameroon),0.9090909090909091,0.8299874217980195,0.7560406795795815,0.04879186408393246,0.04879186408393246,0.04879186408393246,0.04879186408393246,0.04879186408393246
llama3.2,CAO7409,S,B,0.9,"[0.01, 0.85, 0.02, 0.01, 0.01, 0.0]",2.25,State forces (Cameroon),0.5555555555555556,0.5314788656646232,0.06668726371848972,0.6665135927127983,0.06854012238082309,0.06668726371848972,0.06668726371848972,0.06488449375024284
llama3.2,CAO3384,B,B,0.9,"[0.05, 0.85, 0.01, 0.02, 0.03, 0.04]",2.17,State forces (Cameroon),0.5555555555555556,0.5314788656646232,0.07302581523098671,0.6540856429463945,0.06544379926012954,0.0672621091381148,0.0691309394756357,0.07105169394808472
llama3.2,CAO12227,B,B,1.0,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",2.52,State forces (Cameroon),0.9090909090909091,0.8299874217980195,0.04879186408393246,0.7560406795795815,0.04879186408393246,0.04879186408393246,0.04879186408393246,0.04879186408393246
llama3.2,CAO12122,V,V,0.9,"[0, 0, 0, 0, 0, 0.1]",2.0,State forces (Cameroon),0.5555555555555556,0.5314788656646232,0.15834598820186427,0.15834598820186427,0.15834598820186427,0.15834598820186427,0.15834598820186427,0.2082700589904703
llama3.2,CAO4139,V,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.27,State forces (Cameroon),0.9090909090909091,0.8299874217980195,0.7560406795795815,0.04879186408393246,0.04879186408393246,0.04879186408393246,0.04879186408393246,0.04879186408393246
llama3.2,CAO11454,S,V,0.9,"[0.8, 0.1, 0.05, 0.01, 0.005, 0.005]",2.25,State forces (Cameroon),0.5555555555555556,0.5314788656646232,0.6188090968412144,0.0908695258987665,0.07923341497714602,0.07100688555214671,0.07004053836505368,0.07004053836505368
llama3.2,CAO4242,V,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.21,State forces (Cameroon),0.9090909090909091,0.8299874217980195,0.7560406795795815,0.04879186408393246,0.04879186408393246,0.04879186408393246,0.04879186408393246,0.04879186408393246
llama3.2,CAO13564,B,B,1.0,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",2.3,State forces (Cameroon),0.9090909090909091,0.8299874217980195,0.04879186408393246,0.7560406795795815,0.04879186408393246,0.04879186408393246,0.04879186408393246,0.04879186408393246
llama3.2,CAO10471,V,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.37,State forces (Cameroon),0.9090909090909091,0.8299874217980195,0.7560406795795815,0.04879186408393246,0.04879186408393246,0.04879186408393246,0.04879186408393246,0.04879186408393246
llama3.2,CAO4773,V,V,0.9,"[0.8, 0.1, 0.05, 0.01, 0.005, 0.005]",2.12,State forces (Cameroon),0.5555555555555556,0.5314788656646232,0.6188090968412144,0.0908695258987665,0.07923341497714602,0.07100688555214671,0.07004053836505368,0.07004053836505368
llama3.2,CAO4808,B,B,0.9,"[0.05, 0.85, 0.01, 0.02, 0.03, 0.04]",2.28,State forces (Cameroon),0.5555555555555556,0.5314788656646232,0.07302581523098671,0.6540856429463945,0.06544379926012954,0.0672621091381148,0.0691309394756357,0.07105169394808472
llama3.2,CAO10307,V,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.24,State forces (Cameroon),0.9090909090909091,0.8299874217980195,0.7560406795795815,0.04879186408393246,0.04879186408393246,0.04879186408393246,0.04879186408393246,0.04879186408393246
qwen2.5,CAO13748,V,V,1.0,"[0.95, 0.04, 0.01, 0.02, 0.03, 0.05]",10.67,State forces (Cameroon),0.8421052631578947,0.7648750958102666,0.42681171014811886,0.11626395936727273,0.11138472015868633,0.11298794632912129,0.11461424868226704,0.11793741531410679
qwen2.5,CAO4935,S,V,1.0,"[1.0, -2.3, -1.5, -3.4, -2.8, -2.9]",6.3,State forces (Cameroon),0.8421052631578947,0.7648750958102666,0.9550500811051077,0.008548347529046575,0.026816489322402395,0.0017748739335728925,0.004183669076875445,0.0036265390320398697
qwen2.5,CAO2846,B,V,1.0,"[0.95, 0.03, 0.02, 0.01, 0.005, 0.0]",5.81,State forces (Cameroon),0.8421052631578947,0.7648750958102666,0.4327865332991901,0.11621870294204306,0.11456963441655672,0.11294396511110048,0.11213980122486067,0.11134136300581607
qwen2.5,CAO6346,V,V,1.0,"[0.95, 0.03, 0.01, 0.005, 0.002, 0.001]",5.76,State forces (Cameroon),0.8421052631578947,0.7648750958102666,0.4339801301318036,0.11653922649129633,0.11325545714850689,0.11244907543108781,0.11196800492339591,0.11180810587347541
qwen2.5,CAO9881,V,V,1.0,"[1.0, -2.5, -3.8, -4.2, -5.9, -6.7]",5.73,State forces (Cameroon),0.8421052631578947,0.7648750958102666,0.9916345668378557,0.006669261454202118,0.001040478586741537,0.0005874531960118286,5.174504851464075e-05,1.649487568236606e-05
qwen2.5,CAO5487,V,V,1.0,"[0.95, 0.03, 0.02, 0.01, 0.01, 0.0]",5.65,State forces (Cameroon),0.8421052631578947,0.7648750958102666,0.4324387816479792,0.11612531915410125,0.11447757568440703,0.11285321263305483,0.11285321263305483,0.11125189824697021
qwen2.5,CAO12605,V,V,1.0,"[0.95, 0.03, 0.02, 0.01, 0.01, 0.0]",5.48,State forces (Cameroon),0.8421052631578947,0.7648750958102666,0.4324387816479792,0.11612531915410125,0.11447757568440703,0.11285321263305483,0.11285321263305483,0.11125189824697021
qwen2.5,CAO12475,V,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6.32,State forces (Cameroon),0.8421052631578947,0.7648750958102666,0.45503699481616705,0.1089926010366756,0.1089926010366756,0.1089926010366756,0.1089926010366756,0.1089926010366756
qwen2.5,CAO7409,S,V,1.0,"[0.95, 0.03, 0.01, 0.005, 0.002, 0.001]",5.91,State forces (Cameroon),0.8421052631578947,0.7648750958102666,0.4339801301318036,0.11653922649129633,0.11325545714850689,0.11244907543108781,0.11196800492339591,0.11180810587347541
qwen2.5,CAO3384,B,B,1.0,"[0.05, 0.9, 0.03, 0.02, 0.01, 0.0]",6.82,State forces (Cameroon),0.8421052631578947,0.7648750958102666,0.12232819078335894,0.4121722877975599,0.1188813036300167,0.11719445451604223,0.1155315407043099,0.11389222256830016
qwen2.5,CAO12227,B,B,1.0,"[0.05, 0.9, 0.03, 0.02, 0.01, 0.0]",5.66,State forces (Cameroon),0.8421052631578947,0.7648750958102666,0.12232819078335894,0.4121722877975599,0.1188813036300167,0.11719445451604223,0.1155315407043099,0.11389222256830016
qwen2.5,CAO12122,V,V,1.0,"[0.95, 0.03, 0.02, 0.01, 0.01, 0.0]",5.82,State forces (Cameroon),0.8421052631578947,0.7648750958102666,0.4324387816479792,0.11612531915410125,0.11447757568440703,0.11285321263305483,0.11285321263305483,0.11125189824697021
qwen2.5,CAO4139,V,V,1.0,"[1.0, -2.3, -1.5, -3.4, -2.8, -3.9]",5.24,State forces (Cameroon),0.8421052631578947,0.7648750958102666,0.9576912915470028,0.008571988158162633,0.02689065086954487,0.0017797823835684946,0.004195239098877319,0.0008710479418861049
qwen2.5,CAO11454,S,P,0.95,"[0.05, 0.1, 0.08, 0.7, 0.02, 0.05]",5.63,State forces (Cameroon),1.86984930463182e-15,0.5313839159853907,0.13144634661202254,0.14118254436986014,0.13720439104846852,0.3327904218446403,0.12592994951265318,0.13144634661202254
qwen2.5,CAO4242,V,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",5.1,State forces (Cameroon),0.8421052631578947,0.7648750958102666,0.45503699481616705,0.1089926010366756,0.1089926010366756,0.1089926010366756,0.1089926010366756,0.1089926010366756
qwen2.5,CAO13564,B,B,1.0,"[0.05, 0.85, 0.03, 0.02, 0.04, 0.05]",5.54,State forces (Cameroon),0.8421052631578947,0.7648750958102666,0.12418188725489908,0.3895632743394326,0.1206827678032368,0.11897035707316575,0.12241982627397706,0.12418188725489908
qwen2.5,CAO10471,V,V,1.0,"[0.95, 0.04, 0.01, 0.02, 0.03, 0.05]",5.8,State forces (Cameroon),0.8421052631578947,0.7648750958102666,0.42681171014811886,0.11626395936727273,0.11138472015868633,0.11298794632912129,0.11461424868226704,0.11793741531410679
qwen2.5,CAO4773,V,V,1.0,"[0.95, 0.03, 0.01, 0.005, 0.002, 0.001]",5.72,State forces (Cameroon),0.8421052631578947,0.7648750958102666,0.4339801301318036,0.11653922649129633,0.11325545714850689,0.11244907543108781,0.11196800492339591,0.11180810587347541
qwen2.5,CAO4808,B,B,1.0,"[0.05, 0.9, 0.03, 0.02, 0.01, 0.0]",5.42,State forces (Cameroon),0.8421052631578947,0.7648750958102666,0.12232819078335894,0.4121722877975599,0.1188813036300167,0.11719445451604223,0.1155315407043099,0.11389222256830016
qwen2.5,CAO10307,V,V,1.0,"[0.95, 0.03, 0.01, 0.005, 0.002, 0.001]",5.7,State forces (Cameroon),0.8421052631578947,0.7648750958102666,0.4339801301318036,0.11653922649129633,0.11325545714850689,0.11244907543108781,0.11196800492339591,0.11180810587347541
mistral,CAO13748,V,V,0.85,"[0.1, 0.2, 0.3, 0.4, 0.7, 0.6]",10.34,State forces (Cameroon),0.5,0.6905592889333636,0.13340166489129646,0.1436756651382101,0.1547409229841919,0.16665837755451304,0.20820590831257868,0.19331746111900153
mistral,CAO4935,S,V,0.95,"[0.1, 0.2, 0.3, 0.4, 0.5, 0.95]",6.9,State forces (Cameroon),0.928571428571428,0.7961854749422936,0.1296913386708995,0.13967958616850862,0.15043708386505858,0.1620230759741827,0.17450136943416983,0.24366754588693718
mistral,CAO2846,B,V,0.85,"[0.1, 0.2, 0.3, 0.4, 0.85, 0.2]",6.27,State forces (Cameroon),0.5,0.6905592889333636,0.1368407233888981,0.14737958455701766,0.15873010172906848,0.17095478502433278,0.2387152207434266,0.14737958455701766
mistral,CAO6346,V,V,0.95,"[0.1, 0.2, 0.3, 0.4, 0.5, 0.95]",5.96,State forces (Cameroon),0.928571428571428,0.7961854749422936,0.1296913386708995,0.13967958616850862,0.15043708386505858,0.1620230759741827,0.17450136943416983,0.24366754588693718
mistral,CAO9881,V,V,0.85,"[0.1, 0.2, 0.3, 0.4, 0.6, 0.7]",6.22,State forces (Cameroon),0.5,0.6905592889333636,0.13340166489129646,0.1436756651382101,0.1547409229841919,0.16665837755451304,0.19331746111900153,0.20820590831257868
mistral,CAO5487,V,V,0.95,"[0.1, 0.2, 0.3, 0.4, 0.5, 0.95]",5.96,State forces (Cameroon),0.928571428571428,0.7961854749422936,0.1296913386708995,0.13967958616850862,0.15043708386505858,0.1620230759741827,0.17450136943416983,0.24366754588693718
mistral,CAO12605,V,V,0.95,"[0.1, 0.05, 0.02, 0.01, 0.005, 0.02]",6.12,State forces (Cameroon),0.928571428571428,0.7961854749422936,0.17495744266173896,0.1685859737365428,0.16487501525469211,0.16365627128850657,0.16305028180365247,0.16487501525469211
mistral,CAO12475,V,V,0.95,"[0.1, 0.2, 0.3, 0.4, 0.5, 0.95]",6.03,State forces (Cameroon),0.928571428571428,0.7961854749422936,0.1296913386708995,0.13967958616850862,0.15043708386505858,0.1620230759741827,0.17450136943416983,0.24366754588693718
mistral,CAO7409,S,V,0.85,"[0.1, 0.2, 0.3, 0.4, 0.7, 0.6]",6.15,State forces (Cameroon),0.5,0.6905592889333636,0.13340166489129646,0.1436756651382101,0.1547409229841919,0.16665837755451304,0.20820590831257868,0.19331746111900153
mistral,CAO3384,B,B,0.95,"[0.1, 0.95, 0.2, 0.1, 0.1, 0.6]",5.86,State forces (Cameroon),0.928571428571428,0.7961854749422936,0.13504424495385475,0.2537247289702293,0.14544474937882385,0.13504424495385475,0.13504424495385475,0.19569778678912877
mistral,CAO12227,B,B,0.95,"[0.1, 0.95, 0.2, 0.1, 0.1, 0.6]",6.32,State forces (Cameroon),0.928571428571428,0.7961854749422936,0.13504424495385475,0.2537247289702293,0.14544474937882385,0.13504424495385475,0.13504424495385475,0.19569778678912877
mistral,CAO12122,V,V,0.95,"[0.1, 0.2, 0.3, 0.4, 0.5, 0.95]",7.23,State forces (Cameroon),0.928571428571428,0.7961854749422936,0.1296913386708995,0.13967958616850862,0.15043708386505858,0.1620230759741827,0.17450136943416983,0.24366754588693718
mistral,CAO4139,V,V,0.95,"[0.1, 0.05, 0.02, 0.01, 0.03, 0.77]",6.2,State forces (Cameroon),0.928571428571428,0.7961854749422936,0.15540750764467795,0.14974799359008215,0.14645170164694774,0.1453691414576789,0.14754232363359418,0.25548133202676354
mistral,CAO11454,S,V,0.85,"[0.1, 0.2, 0.3, 0.4, 0.85, 0.5]",6.21,State forces (Cameroon),0.5,0.6905592889333636,0.1319911858318629,0.1421565572830513,0.1531048202287692,0.16489626947429262,0.230255323720366,0.1775958434614277
mistral,CAO4242,V,V,0.95,"[0.1, 0.2, 0.3, 0.4, 0.5, 0.95]",6.58,State forces (Cameroon),0.928571428571428,0.7961854749422936,0.1296913386708995,0.13967958616850862,0.15043708386505858,0.1620230759741827,0.17450136943416983,0.24366754588693718
mistral,CAO13564,B,B,0.95,"[0.1, 0.95, 0.2, 0.1, 0.1, 0.6]",6.4,State forces (Cameroon),0.928571428571428,0.7961854749422936,0.13504424495385475,0.2537247289702293,0.14544474937882385,0.13504424495385475,0.13504424495385475,0.19569778678912877
mistral,CAO10471,V,V,0.85,"[0.1, 0.2, 0.3, 0.4, 0.5, 0.85]",7.08,State forces (Cameroon),0.5,0.6905592889333636,0.1319911858318629,0.1421565572830513,0.1531048202287692,0.16489626947429262,0.1775958434614277,0.230255323720366
mistral,CAO4773,V,V,0.95,"[0.1, 0.2, 0.3, 0.4, 0.5, 0.95]",6.28,State forces (Cameroon),0.928571428571428,0.7961854749422936,0.1296913386708995,0.13967958616850862,0.15043708386505858,0.1620230759741827,0.17450136943416983,0.24366754588693718
mistral,CAO4808,B,B,0.95,"[0.1, 0.95, 0.2, 0.1, 0.1, 0.6]",6.49,State forces (Cameroon),0.928571428571428,0.7961854749422936,0.13504424495385475,0.2537247289702293,0.14544474937882385,0.13504424495385475,0.13504424495385475,0.19569778678912877
mistral,CAO10307,V,V,0.95,"[0.1, 0.2, 0.3, 0.4, 0.5, 0.95]",6.62,State forces (Cameroon),0.928571428571428,0.7961854749422936,0.1296913386708995,0.13967958616850862,0.15043708386505858,0.1620230759741827,0.17450136943416983,0.24366754588693718
