model,event_id,true_label,pred_label,pred_conf,logits,latency_sec,actor_norm,pred_conf_iso,pred_conf_temp,prob_V,prob_B,prob_E,prob_P,prob_R,prob_S
llama3.2,CAO13748,V,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",4.54,State forces (Cameroon),0.9090909090909092,0.8299874217980195,0.7560406795795815,0.0487918640839324,0.0487918640839324,0.0487918640839324,0.0487918640839324,0.0487918640839324
llama3.2,CAO4935,S,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.17,State forces (Cameroon),0.9090909090909092,0.8299874217980195,0.7560406795795815,0.0487918640839324,0.0487918640839324,0.0487918640839324,0.0487918640839324,0.0487918640839324
llama3.2,CAO2846,B,V,0.9,"[0, 0, 0, 0, 0, 0.1]",1.86,State forces (Cameroon),0.5555555555555556,0.5314788656646232,0.1583459882018642,0.1583459882018642,0.1583459882018642,0.1583459882018642,0.1583459882018642,0.2082700589904703
llama3.2,CAO6346,V,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.24,State forces (Cameroon),0.9090909090909092,0.8299874217980195,0.7560406795795815,0.0487918640839324,0.0487918640839324,0.0487918640839324,0.0487918640839324,0.0487918640839324
llama3.2,CAO9881,V,V,0.9,"[0.8, 0.1, 0.05, 0.01, 0.005, 0.01]",2.15,State forces (Cameroon),0.5555555555555556,0.5314788656646232,0.6182116897138314,0.0907817991625065,0.0791569219083209,0.0709383344921531,0.0699729202304163,0.0709383344921531
llama3.2,CAO5487,V,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.18,State forces (Cameroon),0.9090909090909092,0.8299874217980195,0.7560406795795815,0.0487918640839324,0.0487918640839324,0.0487918640839324,0.0487918640839324,0.0487918640839324
llama3.2,CAO12605,V,B,0.9,"[0.05, 0.85, 0.01, 0.03, 0.02, 0.04]",2.16,State forces (Cameroon),0.5555555555555556,0.5314788656646232,0.0730258152309867,0.6540856429463945,0.0654437992601295,0.0691309394756357,0.0672621091381148,0.0710516939480847
llama3.2,CAO12475,V,V,1.0,"[1, 0, 0, 0, 0, 0]",1.81,State forces (Cameroon),0.9090909090909092,0.8299874217980195,0.7560406795795815,0.0487918640839324,0.0487918640839324,0.0487918640839324,0.0487918640839324,0.0487918640839324
llama3.2,CAO7409,S,B,0.9,"[0.01, 0.85, 0.02, 0.01, 0.01, 0.0]",2.25,State forces (Cameroon),0.5555555555555556,0.5314788656646232,0.0666872637184897,0.6665135927127983,0.068540122380823,0.0666872637184897,0.0666872637184897,0.0648844937502428
llama3.2,CAO3384,B,B,0.9,"[0.05, 0.85, 0.01, 0.02, 0.03, 0.04]",2.17,State forces (Cameroon),0.5555555555555556,0.5314788656646232,0.0730258152309867,0.6540856429463945,0.0654437992601295,0.0672621091381148,0.0691309394756357,0.0710516939480847
