model,event_id,true_label,pred_label,pred_conf,logits,latency_sec,actor_norm
llama3.2:3b,CAO13652,V,V,0.95,"[0.01, 0.0, 0.0, 0.0, 0.99]",3.15,State forces (Cameroon)
llama3.2:3b,CAO5524,V,V,0.95,"[0.01, 0.0, 0.0, 0.0, 0.99]",0.61,State forces (Cameroon)
llama3.2:3b,CAO13860,V,V,0.95,"[0.01, 0.0, 0.0, 0.0, 0.99]",0.63,State forces (Cameroon)
llama3.2:3b,CAO11648,V,V,0.95,"[0.01, 0.0, 0.0, 0.0, 0.99]",0.61,State forces (Cameroon)
llama3.2:3b,CAO12246,B,B,0.9,"[0.23, 0.21, 0.15, 0.12, 0.08, 0.21]",0.68,State forces (Cameroon)
llama3.2:3b,CAO5148,V,V,0.95,"[0.01, 0.0, 0.0, 0.0, 0.99]",0.61,State forces (Cameroon)
llama3.2:3b,CAO11975,V,S,0.8,"[0.01, 0.0, 0.0, 0.0, 0.99, 0.0]",0.67,State forces (Cameroon)
llama3.2:3b,CAO7653,V,V,0.95,"[0.01, 0.0, 0.0, 0.0, 0.99]",0.65,State forces (Cameroon)
llama3.2:3b,CAO11405,S,V,0.95,"[0.23, 0.02, 0.01, 0.01, 0.0, 0.73]",0.67,State forces (Cameroon)
llama3.2:3b,CAO15096,B,B,0.9,"[0.23, 0.81, 0.0, 0.01, 0.02, 0.93]",0.66,State forces (Cameroon)
llama3.2:3b,CAO5005,S,S,0.8,"[0.01, 0.0, 0.0, 0.0, 0.99]",0.62,State forces (Cameroon)
llama3.2:3b,CAO5007,B,B,0.9,"[0.23, 0.81, 0.0, 0.01, 0.02, 0.93]",0.65,State forces (Cameroon)
llama3.2:3b,CAO12628,V,V,0.95,"[0.01, 0.0, 0.0, 0.0, 0.99]",0.63,State forces (Cameroon)
llama3.2:3b,CAO3179,S,V,0.95,"[0.01, 0.0, 0.99, 0.0, 0.0, 0.0]",0.65,State forces (Cameroon)
llama3.2:3b,CAO12883,S,V,0.8,"[0.23, 0.0, 0.0, 0.0, 0.77]",0.65,State forces (Cameroon)
llama3.2:3b,CAO15042,S,V,0.8,"[0.23, 0.0, 0.0, 0.0, 0.77]",0.6,State forces (Cameroon)
llama3.2:3b,CAO12495,B,B,0.9,"[0.25, 0.65, 0.05, 0.03, 0.02, 0.0]",0.62,State forces (Cameroon)
llama3.2:3b,CAO14671,S,S,0.8,"[0.01, 0.0, 0.0, 0.0, 0.99, 0.0]",0.63,State forces (Cameroon)
llama3.2:3b,CAO4935,S,V,0.8,"[0.23, 0.0, 0.0, 0.0, 0.77]",0.64,State forces (Cameroon)
llama3.2:3b,CAO8957,B,V,0.95,"[0.01, 0.0, 0.0, 0.0, 0.0, 0.99]",0.64,State forces (Cameroon)
llama3.2:3b,CAO10497,V,V,0.9,"[0.05, 0.8, 0.0, 0.15, 0.0, 0.0]",0.62,State forces (Cameroon)
llama3.2:3b,CAO12776,B,B,0.9,"[0.23, 0.81, 0.0, 0.0, 0.0, 0.0]",0.62,State forces (Cameroon)
