model,prob_col,threshold,accepted,coverage,correct,accuracy,total_valid
mistral:7b,pred_conf,0.0,199,1.0,143,0.719,199
mistral:7b,pred_conf,0.1,199,1.0,143,0.719,199
mistral:7b,pred_conf,0.2,199,1.0,143,0.719,199
mistral:7b,pred_conf,0.3,199,1.0,143,0.719,199
mistral:7b,pred_conf,0.4,199,1.0,143,0.719,199
mistral:7b,pred_conf,0.5,199,1.0,143,0.719,199
mistral:7b,pred_conf,0.6,198,0.9949748743718593,143,0.722,199
mistral:7b,pred_conf,0.7,198,0.9949748743718593,143,0.722,199
mistral:7b,pred_conf,0.8,198,0.9949748743718593,143,0.722,199
mistral:7b,pred_conf,0.9,180,0.9045226130653267,133,0.739,199
mistral:7b,pred_conf,0.95,180,0.9045226130653267,133,0.739,199
mistral:7b,pred_conf,0.99,0,0.0,0,,199
mistral:7b,pred_conf_iso,0.0,199,1.0,143,0.719,199
mistral:7b,pred_conf_iso,0.1,199,1.0,143,0.719,199
mistral:7b,pred_conf_iso,0.2,199,1.0,143,0.719,199
mistral:7b,pred_conf_iso,0.3,199,1.0,143,0.719,199
mistral:7b,pred_conf_iso,0.4,198,0.9949748743718593,143,0.722,199
mistral:7b,pred_conf_iso,0.5,180,0.9045226130653267,133,0.739,199
mistral:7b,pred_conf_iso,0.6,180,0.9045226130653267,133,0.739,199
mistral:7b,pred_conf_iso,0.7,180,0.9045226130653267,133,0.739,199
mistral:7b,pred_conf_iso,0.8,0,0.0,0,,199
mistral:7b,pred_conf_iso,0.9,0,0.0,0,,199
mistral:7b,pred_conf_iso,0.95,0,0.0,0,,199
mistral:7b,pred_conf_iso,0.99,0,0.0,0,,199
mistral:7b,pred_conf_temp,0.0,199,1.0,143,0.719,199
mistral:7b,pred_conf_temp,0.1,199,1.0,143,0.719,199
mistral:7b,pred_conf_temp,0.2,199,1.0,143,0.719,199
mistral:7b,pred_conf_temp,0.3,199,1.0,143,0.719,199
mistral:7b,pred_conf_temp,0.4,199,1.0,143,0.719,199
mistral:7b,pred_conf_temp,0.5,199,1.0,143,0.719,199
mistral:7b,pred_conf_temp,0.6,198,0.9949748743718593,143,0.722,199
mistral:7b,pred_conf_temp,0.7,198,0.9949748743718593,143,0.722,199
mistral:7b,pred_conf_temp,0.8,198,0.9949748743718593,143,0.722,199
mistral:7b,pred_conf_temp,0.9,180,0.9045226130653267,133,0.739,199
mistral:7b,pred_conf_temp,0.95,0,0.0,0,,199
mistral:7b,pred_conf_temp,0.99,0,0.0,0,,199
