model,event_id,true_label,pred_label,pred_conf,logits,latency_sec,actor_norm
mistral:7b,CAO13652,V,V,0.95,"[0.1, 0.05, 0.02, 0.01, 0.01, 0.81]",3.13,State forces (Cameroon)
mistral:7b,CAO5524,V,V,0.95,"[0.1, 0.05, 0.02, 0.01, 0.005, 0.86]",0.54,State forces (Cameroon)
mistral:7b,CAO13860,V,V,0.95,"[0.1, 0.02, 0.01, 0.0, 0.0, 0.86]",0.54,State forces (Cameroon)
mistral:7b,CAO11648,V,V,0.95,"[0.1, 0.05, 0.02, 0.01, 0.005, 0.81]",0.54,State forces (Cameroon)
mistral:7b,CAO12246,B,B,0.95,"[0.05, 0.2, 0.1, 0.05, 0.05, 0.55]",0.52,State forces (Cameroon)
mistral:7b,CAO5148,V,V,0.95,"[0.1, 0.05, 0.02, 0.01, 0.01, 0.81]",0.53,State forces (Cameroon)
mistral:7b,CAO11975,V,V,0.95,"[0.1, 0.05, 0.02, 0.0, 0.0, 0.83]",0.56,State forces (Cameroon)
mistral:7b,CAO7653,V,V,0.95,"[0.1, 0.02, 0.0, 0.0, 0.0, 0.88]",0.53,State forces (Cameroon)
mistral:7b,CAO11405,S,V,0.95,"[0.1, 0.05, 0.02, 0.0, 0.0, 0.83]",0.53,State forces (Cameroon)
mistral:7b,CAO15096,B,B,0.95,"[0.1, 0.85, 0.02, 0.02, 0.01, 0.0]",0.54,State forces (Cameroon)
mistral:7b,CAO5005,S,V,0.95,"[0.1, 0.05, 0.0, 0.0, 0.0, 0.85]",0.54,State forces (Cameroon)
mistral:7b,CAO5007,B,B,0.95,"[0.1, 0.85, 0.02, 0.01, 0.01, 0.01]",0.53,State forces (Cameroon)
mistral:7b,CAO12628,V,V,0.95,"[0.1, 0.05, 0.02, 0.01, 0.005, 0.81]",0.55,State forces (Cameroon)
mistral:7b,CAO3179,S,V,0.95,"[0.1, 0.05, 0.0, 0.0, 0.0, 0.85]",0.53,State forces (Cameroon)
mistral:7b,CAO12883,S,V,0.95,"[0.1, 0.05, 0.02, 0.0, 0.0, 0.83]",0.53,State forces (Cameroon)
mistral:7b,CAO15042,S,V,0.95,"[0.1, 0.05, 0.0, 0.0, 0.0, 0.85]",0.55,State forces (Cameroon)
mistral:7b,CAO12495,B,B,0.95,"[0.1, 0.75, 0.02, 0.03, 0.05, 0.05]",0.53,State forces (Cameroon)
mistral:7b,CAO14671,S,V,0.95,"[0.1, 0.05, 0.02, 0.0, 0.0, 0.83]",0.53,State forces (Cameroon)
mistral:7b,CAO4935,S,V,0.95,"[0.1, 0.05, 0.0, 0.0, 0.0, 0.85]",0.52,State forces (Cameroon)
mistral:7b,CAO8957,B,B,0.85,"[0.1, 0.15, 0.2, 0.2, 0.15, 0.15]",0.54,State forces (Cameroon)
mistral:7b,CAO10497,V,V,0.95,"[0.1, 0.05, 0.02, 0.0, 0.0, 0.83]",0.54,State forces (Cameroon)
mistral:7b,CAO12776,B,B,0.95,"[0.1, 0.85, 0.02, 0.02, 0.0, 0.01]",0.55,State forces (Cameroon)
mistral:7b,CAO4338,B,B,0.95,"[0.1, 0.85, 0.02, 0.02, 0.0, 0.01]",0.53,State forces (Cameroon)
mistral:7b,CAO13006,V,V,0.95,"[0.1, 0.05, 0.0, 0.0, 0.0, 0.85]",0.53,State forces (Cameroon)
mistral:7b,CAO4239,B,B,0.95,"[0.1, 0.85, 0.02, 0.01, 0.01, 0.01]",0.53,State forces (Cameroon)
mistral:7b,CAO8979,B,B,0.95,"[0.1, 0.85, 0.02, 0.01, 0.01, 0.01]",0.54,State forces (Cameroon)
mistral:7b,CAO13845,B,B,0.85,"[0.1, 0.2, 0.15, 0.05, 0.02, 0.48]",0.52,State forces (Cameroon)
mistral:7b,CAO15710,S,P,0.75,"[0.1, 0.15, 0.2, 0.3, 0.1, 0.15]",0.53,State forces (Cameroon)
mistral:7b,CAO8017,S,V,0.95,"[0.1, 0.05, 0.02, 0.0, 0.0, 0.83]",0.53,State forces (Cameroon)
mistral:7b,CAO4061,S,R,0.95,"[0.05, 0.05, 0.1, 0.6, 0.05, 0.1]",0.54,State forces (Cameroon)
mistral:7b,CAO9658,B,B,0.95,"[0.1, 0.85, 0.02, 0.01, 0.01, 0.01]",0.53,State forces (Cameroon)
mistral:7b,CAO8684,B,B,0.95,"[0.1, 0.85, 0.02, 0.01, 0.01, 0.01]",0.53,State forces (Cameroon)
mistral:7b,CAO7035,V,V,0.75,"[0.1, 0.05, 0.03, 0.02, 0.01, 0.74]",0.53,State forces (Cameroon)
mistral:7b,CAO15434,V,V,0.95,"[0.1, 0.05, 0.02, 0.01, 0.005, 0.81]",0.54,State forces (Cameroon)
mistral:7b,CAO9461,B,B,0.95,"[0.05, 0.85, 0.02, 0.01, 0.03, 0.04]",0.54,State forces (Cameroon)
mistral:7b,CAO6455,B,B,0.85,"[0.1, 0.2, 0.05, 0.02, 0.0, 0.63]",0.54,State forces (Cameroon)
mistral:7b,CAO10195,V,V,0.95,"[0.1, 0.05, 0.02, 0.0, 0.0, 0.83]",0.55,State forces (Cameroon)
mistral:7b,CAO14814,V,V,0.95,"[0.1, 0.05, 0.02, 0.01, 0.01, 0.81]",0.54,State forces (Cameroon)
mistral:7b,CAO12973,S,E,0.95,"[0.1, 0.05, 0.8, 0.0, 0.0, 0.05]",0.53,State forces (Cameroon)
mistral:7b,CAO10023,B,B,0.95,"[0.1, 0.8, 0.02, 0.03, 0.04, 0.01]",0.55,State forces (Cameroon)
mistral:7b,CAO13959,B,V,0.95,"[0.1, 0.05, 0.02, 0.0, 0.0, 0.83]",0.53,State forces (Cameroon)
mistral:7b,CAO14643,B,B,0.95,"[0.05, 0.85, 0.02, 0.01, 0.03, 0.04]",0.54,State forces (Cameroon)
mistral:7b,CAO7944,B,B,0.95,"[0.1, 0.75, 0.05, 0.02, 0.02, 0.06]",0.54,State forces (Cameroon)
mistral:7b,CAO11497,S,V,0.95,"[0.1, 0.05, 0.0, 0.0, 0.0, 0.85]",0.53,State forces (Cameroon)
mistral:7b,CAO3671,B,B,0.85,"[0.1, 0.2, 0.15, 0.05, 0.02, 0.43]",0.53,State forces (Cameroon)
mistral:7b,CAO10403,B,B,0.95,"[0.1, 0.2, 0.3, 0.15, 0.05, 0.15]",0.54,State forces (Cameroon)
mistral:7b,CAO14548,S,V,0.95,"[0.05, 0.02, 0.01, 0.005, 0.002, 0.908]",0.56,State forces (Cameroon)
mistral:7b,CAO11480,V,V,0.95,"[0.1, 0.05, 0.02, 0.01, 0.01, 0.81]",0.53,State forces (Cameroon)
mistral:7b,CAO11970,B,V,0.95,"[0.1, 0.05, 0.02, 0.0, 0.0, 0.83]",0.55,State forces (Cameroon)
mistral:7b,CAO9239,S,B,0.85,"[0.1, 0.15, 0.2, 0.05, 0.0, 0.45]",0.53,State forces (Cameroon)
mistral:7b,CAO12285,V,V,0.95,"[0.1, 0.05, 0.02, 0.01, 0.01, 0.81]",0.56,State forces (Cameroon)
mistral:7b,CAO3880,S,V,0.95,"[0.1, 0.05, 0.0, 0.0, 0.0, 0.85]",0.52,State forces (Cameroon)
mistral:7b,CAO9633,B,B,0.95,"[0.05, 0.2, 0.1, 0.05, 0.05, 0.6]",0.55,State forces (Cameroon)
mistral:7b,CAO4978,V,V,0.95,"[0.1, 0.05, 0.02, 0.01, 0.005, 0.81]",0.54,State forces (Cameroon)
mistral:7b,CAO4080,B,B,0.95,"[0.1, 0.85, 0.02, 0.02, 0.0, 0.01]",0.53,State forces (Cameroon)
mistral:7b,CAO6193,B,B,0.95,"[0.1, 0.75, 0.05, 0.02, 0.03, 0.05]",0.54,State forces (Cameroon)
mistral:7b,CAO3959,V,V,0.95,"[0.1, 0.05, 0.02, 0.01, 0.005, 0.81]",0.54,State forces (Cameroon)
