model,event_id,true_label,pred_label,pred_conf,logits,latency_sec,actor_norm,pred_conf_iso,pred_conf_temp,prob_V,prob_B,prob_E,prob_P,prob_R,prob_S
mistral:7b,CAO4260,V,V,0.95,"[0.1, 0.05, 0.02, 0.01, 0.005, 0.81]",0.55,State forces (Cameroon),0.7940298507462682,0.9499999999999998,0.14855218479785007,0.14130720925358264,0.13713095007834372,0.13576647432692965,0.1350893362112879,0.3021538453317038
mistral:7b,CAO3900,V,V,0.95,"[0.1, 0.05, 0.02, 0.0, 0.0, 0.83]",0.53,State forces (Cameroon),0.7940298507462682,0.9499999999999998,0.14794866480689803,0.14073312327991466,0.13657383090932476,0.13386948786574127,0.13386948786574127,0.30700540527207304
mistral:7b,CAO2851,B,B,0.95,"[0.1, 0.85, 0.02, 0.02, 0.01, 0.0]",0.55,State forces (Cameroon),0.7940298507462682,0.9499999999999998,0.14744910151050789,0.31214975034726916,0.13611267586437223,0.13611267586437223,0.13475833211067614,0.13341746430249007
mistral:7b,CAO9885,B,B,0.95,"[0.1, 0.85, 0.02, 0.02, 0.0, 0.01]",0.54,State forces (Cameroon),0.7940298507462682,0.9499999999999998,0.14744910151050789,0.31214975034726916,0.13611267586437223,0.13611267586437223,0.13341746430249007,0.13475833211067614
mistral:7b,CAO3149,V,V,0.95,"[0.1, 0.05, 0.02, 0.0, 0.0, 0.83]",0.53,State forces (Cameroon),0.7940298507462682,0.9499999999999998,0.14794866480689803,0.14073312327991466,0.13657383090932476,0.13386948786574127,0.13386948786574127,0.30700540527207304
mistral:7b,CAO10055,B,B,0.95,"[0.1, 0.85, 0.02, 0.01, 0.01, 0.01]",0.55,State forces (Cameroon),0.7940298507462682,0.9499999999999998,0.14745108855334263,0.3121539569169833,0.13611451013609394,0.13476014813108927,0.13476014813108927,0.13476014813108927
mistral:7b,CAO6887,V,V,0.95,"[0.1, 0.05, 0.02, 0.01, 0.005, 0.81]",0.54,State forces (Cameroon),0.7940298507462682,0.9499999999999998,0.14855218479785007,0.14130720925358264,0.13713095007834372,0.13576647432692965,0.1350893362112879,0.3021538453317038
mistral:7b,CAO3511,B,B,0.95,"[0.1, 0.85, 0.02, 0.0, 0.0, 0.03]",0.53,State forces (Cameroon),0.7940298507462682,0.9499999999999998,0.1474451076167335,0.3121412952740824,0.13610898903574337,0.13341385047795934,0.13341385047795934,0.13747690711720978
mistral:7b,CAO9976,S,E,0.95,"[0.05, 0.05, 0.8, 0.0, 0.0, 0.1]",0.53,State forces (Cameroon),0.7940298507462682,0.9499999999999998,0.1414281135576334,0.1414281135576334,0.2994033187510092,0.13453058306764926,0.13453058306764926,0.1486792879981261
mistral:7b,CAO11086,B,B,0.95,"[0.1, 0.85, 0.02, 0.01, 0.01, 0.01]",0.52,State forces (Cameroon),0.7940298507462682,0.9499999999999998,0.14745108855334263,0.3121539569169833,0.13611451013609394,0.13476014813108927,0.13476014813108927,0.13476014813108927
