model,label,precision,recall,f1,support
gemma3:4b,B,0.975,1.0,0.9873417721518988,39
gemma3:4b,E,0.0,0.0,0.0,1
gemma3:4b,S,0.0,0.0,0.0,23
gemma3:4b,V,0.5925925925925926,1.0,0.7441860465116279,16
llama3.2:3b,B,0.9285714285714286,0.8125,0.8666666666666667,80
llama3.2:3b,E,0.2222222222222222,1.0,0.36363636363636365,2
llama3.2:3b,S,0.7,0.34146341463414637,0.45901639344262296,41
llama3.2:3b,V,0.7021276595744681,0.9166666666666666,0.7951807228915663,72
mistral:7b,B,0.9368421052631579,0.9081632653061225,0.9222797927461139,98
mistral:7b,E,0.07692307692307693,0.3333333333333333,0.125,3
mistral:7b,S,0.0,0.0,0.0,45
mistral:7b,V,0.6162790697674418,1.0,0.762589928057554,53
olmo2:7b,B,0.8076923076923077,0.9545454545454546,0.875,88
olmo2:7b,E,0.08333333333333333,0.5,0.14285714285714285,2
olmo2:7b,S,1.0,0.04,0.07692307692307693,50
olmo2:7b,V,0.8727272727272727,0.8,0.8347826086956521,60
