model,prob_col,threshold,accepted,coverage,correct,accuracy,total_valid
llama3.2,pred_conf,0.0,50,1.0,36,0.72,50
llama3.2,pred_conf,0.1,49,0.98,35,0.714,50
llama3.2,pred_conf,0.2,49,0.98,35,0.714,50
llama3.2,pred_conf,0.3,49,0.98,35,0.714,50
llama3.2,pred_conf,0.4,49,0.98,35,0.714,50
llama3.2,pred_conf,0.5,49,0.98,35,0.714,50
llama3.2,pred_conf,0.6,46,0.92,32,0.696,50
llama3.2,pred_conf,0.7,46,0.92,32,0.696,50
llama3.2,pred_conf,0.8,46,0.92,32,0.696,50
llama3.2,pred_conf,0.9,45,0.9,31,0.689,50
llama3.2,pred_conf,0.95,45,0.9,31,0.689,50
llama3.2,pred_conf,0.99,45,0.9,31,0.689,50
qwen2.5,pred_conf,0.0,50,1.0,38,0.76,50
qwen2.5,pred_conf,0.1,50,1.0,38,0.76,50
qwen2.5,pred_conf,0.2,50,1.0,38,0.76,50
qwen2.5,pred_conf,0.3,50,1.0,38,0.76,50
qwen2.5,pred_conf,0.4,50,1.0,38,0.76,50
qwen2.5,pred_conf,0.5,50,1.0,38,0.76,50
qwen2.5,pred_conf,0.6,50,1.0,38,0.76,50
qwen2.5,pred_conf,0.7,50,1.0,38,0.76,50
qwen2.5,pred_conf,0.8,50,1.0,38,0.76,50
qwen2.5,pred_conf,0.9,50,1.0,38,0.76,50
qwen2.5,pred_conf,0.95,50,1.0,38,0.76,50
qwen2.5,pred_conf,0.99,37,0.74,30,0.811,50
mistral,pred_conf,0.0,50,1.0,38,0.76,50
mistral,pred_conf,0.1,50,1.0,38,0.76,50
mistral,pred_conf,0.2,50,1.0,38,0.76,50
mistral,pred_conf,0.3,50,1.0,38,0.76,50
mistral,pred_conf,0.4,50,1.0,38,0.76,50
mistral,pred_conf,0.5,50,1.0,38,0.76,50
mistral,pred_conf,0.6,50,1.0,38,0.76,50
mistral,pred_conf,0.7,50,1.0,38,0.76,50
mistral,pred_conf,0.8,50,1.0,38,0.76,50
mistral,pred_conf,0.9,47,0.94,38,0.809,50
mistral,pred_conf,0.95,47,0.94,38,0.809,50
mistral,pred_conf,0.99,0,0.0,0,,50
llama3.2,pred_conf_iso,0.0,50,1.0,36,0.72,50
llama3.2,pred_conf_iso,0.1,50,1.0,36,0.72,50
llama3.2,pred_conf_iso,0.2,50,1.0,36,0.72,50
llama3.2,pred_conf_iso,0.3,50,1.0,36,0.72,50
llama3.2,pred_conf_iso,0.4,50,1.0,36,0.72,50
llama3.2,pred_conf_iso,0.5,50,1.0,36,0.72,50
llama3.2,pred_conf_iso,0.6,50,1.0,36,0.72,50
llama3.2,pred_conf_iso,0.7,50,1.0,36,0.72,50
llama3.2,pred_conf_iso,0.8,0,0.0,0,,50
llama3.2,pred_conf_iso,0.9,0,0.0,0,,50
llama3.2,pred_conf_iso,0.95,0,0.0,0,,50
llama3.2,pred_conf_iso,0.99,0,0.0,0,,50
qwen2.5,pred_conf_iso,0.0,50,1.0,38,0.76,50
qwen2.5,pred_conf_iso,0.1,50,1.0,38,0.76,50
qwen2.5,pred_conf_iso,0.2,50,1.0,38,0.76,50
qwen2.5,pred_conf_iso,0.3,50,1.0,38,0.76,50
qwen2.5,pred_conf_iso,0.4,50,1.0,38,0.76,50
qwen2.5,pred_conf_iso,0.5,50,1.0,38,0.76,50
qwen2.5,pred_conf_iso,0.6,50,1.0,38,0.76,50
qwen2.5,pred_conf_iso,0.7,37,0.74,30,0.811,50
