model,prob_col,threshold,accepted,coverage,correct,accuracy,total_valid
mistral:7b,pred_conf,0.0,200,1.0,157,0.785,200
mistral:7b,pred_conf,0.1,200,1.0,157,0.785,200
mistral:7b,pred_conf,0.2,200,1.0,157,0.785,200
mistral:7b,pred_conf,0.3,200,1.0,157,0.785,200
mistral:7b,pred_conf,0.4,200,1.0,157,0.785,200
mistral:7b,pred_conf,0.5,200,1.0,157,0.785,200
mistral:7b,pred_conf,0.6,200,1.0,157,0.785,200
mistral:7b,pred_conf,0.7,195,0.975,155,0.795,200
mistral:7b,pred_conf,0.8,178,0.89,143,0.803,200
mistral:7b,pred_conf,0.9,168,0.84,134,0.798,200
mistral:7b,pred_conf,0.95,168,0.84,134,0.798,200
mistral:7b,pred_conf,0.99,0,0.0,0,,200
mistral:7b,pred_conf_iso,0.0,200,1.0,157,0.785,200
mistral:7b,pred_conf_iso,0.1,200,1.0,157,0.785,200
mistral:7b,pred_conf_iso,0.2,200,1.0,157,0.785,200
mistral:7b,pred_conf_iso,0.3,195,0.975,155,0.795,200
mistral:7b,pred_conf_iso,0.4,195,0.975,155,0.795,200
mistral:7b,pred_conf_iso,0.5,195,0.975,155,0.795,200
mistral:7b,pred_conf_iso,0.6,195,0.975,155,0.795,200
mistral:7b,pred_conf_iso,0.7,195,0.975,155,0.795,200
mistral:7b,pred_conf_iso,0.8,0,0.0,0,,200
mistral:7b,pred_conf_iso,0.9,0,0.0,0,,200
mistral:7b,pred_conf_iso,0.95,0,0.0,0,,200
mistral:7b,pred_conf_iso,0.99,0,0.0,0,,200
mistral:7b,pred_conf_temp,0.0,200,1.0,157,0.785,200
mistral:7b,pred_conf_temp,0.1,200,1.0,157,0.785,200
mistral:7b,pred_conf_temp,0.2,200,1.0,157,0.785,200
mistral:7b,pred_conf_temp,0.3,200,1.0,157,0.785,200
mistral:7b,pred_conf_temp,0.4,200,1.0,157,0.785,200
mistral:7b,pred_conf_temp,0.5,200,1.0,157,0.785,200
mistral:7b,pred_conf_temp,0.6,200,1.0,157,0.785,200
mistral:7b,pred_conf_temp,0.7,195,0.975,155,0.795,200
mistral:7b,pred_conf_temp,0.8,178,0.89,143,0.803,200
mistral:7b,pred_conf_temp,0.9,168,0.84,134,0.798,200
mistral:7b,pred_conf_temp,0.95,2,0.01,0,0.0,200
mistral:7b,pred_conf_temp,0.99,0,0.0,0,,200
