model,prob_col,threshold,accepted,coverage,correct,accuracy,total_valid
llama3.2,pred_conf,0.0,20,1.0,15,0.75,20
llama3.2,pred_conf,0.1,20,1.0,15,0.75,20
llama3.2,pred_conf,0.2,20,1.0,15,0.75,20
llama3.2,pred_conf,0.3,20,1.0,15,0.75,20
llama3.2,pred_conf,0.4,20,1.0,15,0.75,20
llama3.2,pred_conf,0.5,20,1.0,15,0.75,20
llama3.2,pred_conf,0.6,20,1.0,15,0.75,20
llama3.2,pred_conf,0.7,20,1.0,15,0.75,20
llama3.2,pred_conf,0.8,20,1.0,15,0.75,20
llama3.2,pred_conf,0.9,20,1.0,15,0.75,20
llama3.2,pred_conf,0.95,6,0.3,5,0.833,20
llama3.2,pred_conf,0.99,6,0.3,5,0.833,20
qwen2.5,pred_conf,0.0,20,1.0,18,0.9,20
qwen2.5,pred_conf,0.1,20,1.0,18,0.9,20
qwen2.5,pred_conf,0.2,20,1.0,18,0.9,20
qwen2.5,pred_conf,0.3,20,1.0,18,0.9,20
qwen2.5,pred_conf,0.4,20,1.0,18,0.9,20
qwen2.5,pred_conf,0.5,20,1.0,18,0.9,20
qwen2.5,pred_conf,0.6,20,1.0,18,0.9,20
qwen2.5,pred_conf,0.7,20,1.0,18,0.9,20
qwen2.5,pred_conf,0.8,20,1.0,18,0.9,20
qwen2.5,pred_conf,0.9,20,1.0,18,0.9,20
qwen2.5,pred_conf,0.95,20,1.0,18,0.9,20
qwen2.5,pred_conf,0.99,19,0.95,17,0.895,20
mistral,pred_conf,0.0,20,1.0,17,0.85,20
mistral,pred_conf,0.1,20,1.0,17,0.85,20
mistral,pred_conf,0.2,20,1.0,17,0.85,20
mistral,pred_conf,0.3,20,1.0,17,0.85,20
mistral,pred_conf,0.4,20,1.0,17,0.85,20
mistral,pred_conf,0.5,20,1.0,17,0.85,20
mistral,pred_conf,0.6,20,1.0,17,0.85,20
mistral,pred_conf,0.7,20,1.0,17,0.85,20
mistral,pred_conf,0.8,20,1.0,17,0.85,20
mistral,pred_conf,0.9,7,0.35,6,0.857,20
mistral,pred_conf,0.95,7,0.35,6,0.857,20
mistral,pred_conf,0.99,0,0.0,0,,20
llama3.2,pred_conf_iso,0.0,20,1.0,15,0.75,20
llama3.2,pred_conf_iso,0.1,20,1.0,15,0.75,20
llama3.2,pred_conf_iso,0.2,20,1.0,15,0.75,20
llama3.2,pred_conf_iso,0.3,20,1.0,15,0.75,20
llama3.2,pred_conf_iso,0.4,20,1.0,15,0.75,20
llama3.2,pred_conf_iso,0.5,20,1.0,15,0.75,20
llama3.2,pred_conf_iso,0.6,20,1.0,15,0.75,20
llama3.2,pred_conf_iso,0.7,20,1.0,15,0.75,20
llama3.2,pred_conf_iso,0.8,6,0.3,5,0.833,20
llama3.2,pred_conf_iso,0.9,0,0.0,0,,20
llama3.2,pred_conf_iso,0.95,0,0.0,0,,20
llama3.2,pred_conf_iso,0.99,0,0.0,0,,20
qwen2.5,pred_conf_iso,0.0,20,1.0,18,0.9,20
qwen2.5,pred_conf_iso,0.1,20,1.0,18,0.9,20
qwen2.5,pred_conf_iso,0.2,20,1.0,18,0.9,20
qwen2.5,pred_conf_iso,0.3,20,1.0,18,0.9,20
qwen2.5,pred_conf_iso,0.4,20,1.0,18,0.9,20
qwen2.5,pred_conf_iso,0.5,20,1.0,18,0.9,20
qwen2.5,pred_conf_iso,0.6,20,1.0,18,0.9,20
qwen2.5,pred_conf_iso,0.7,20,1.0,18,0.9,20
qwen2.5,pred_conf_iso,0.8,20,1.0,18,0.9,20
qwen2.5,pred_conf_iso,0.9,20,1.0,18,0.9,20
qwen2.5,pred_conf_iso,0.95,0,0.0,0,,20
qwen2.5,pred_conf_iso,0.99,0,0.0,0,,20
mistral,pred_conf_iso,0.0,20,1.0,17,0.85,20
mistral,pred_conf_iso,0.1,20,1.0,17,0.85,20
mistral,pred_conf_iso,0.2,20,1.0,17,0.85,20
mistral,pred_conf_iso,0.3,20,1.0,17,0.85,20
mistral,pred_conf_iso,0.4,20,1.0,17,0.85,20
mistral,pred_conf_iso,0.5,20,1.0,17,0.85,20
mistral,pred_conf_iso,0.6,20,1.0,17,0.85,20
mistral,pred_conf_iso,0.7,20,1.0,17,0.85,20
mistral,pred_conf_iso,0.8,20,1.0,17,0.85,20
mistral,pred_conf_iso,0.9,0,0.0,0,,20
mistral,pred_conf_iso,0.95,0,0.0,0,,20
mistral,pred_conf_iso,0.99,0,0.0,0,,20
llama3.2,pred_conf_temp,0.0,20,1.0,15,0.75,20
llama3.2,pred_conf_temp,0.1,20,1.0,15,0.75,20
llama3.2,pred_conf_temp,0.2,20,1.0,15,0.75,20
llama3.2,pred_conf_temp,0.3,20,1.0,15,0.75,20
llama3.2,pred_conf_temp,0.4,20,1.0,15,0.75,20
llama3.2,pred_conf_temp,0.5,20,1.0,15,0.75,20
