model,event_id,true_label,pred_label,pred_conf,logits,latency_sec,actor_norm
llama3.2,NIG16292,V,B,0.9,"[0.05, 0.85, 0.01, 0.02, 0.03, 0.04]",6.19,Other Actors
llama3.2,NIG23107,B,B,0.9,"[0.05, 0.85, 0.01, 0.02, 0.01, 0.04]",4.07,Other Actors
llama3.2,NIG30021,V,V,0.9,"[0.8, 0.1, 0.05, 0.01, 0.005, 0.005]",3.71,Other Actors
llama3.2,NIG34478,V,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3.98,Other Actors
llama3.2,NIG34685,B,B,1.0,"[0.0, 0.999999, 0.0, 0.0, 0.0, 0.0]",4.26,Other Actors
qwen2.5,NIG16292,V,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",15.92,Other Actors
qwen2.5,NIG23107,B,B,1.0,"[0.05, 0.85, 0.03, 0.02, 0.04, 0.03]",10.9,Other Actors
qwen2.5,NIG30021,V,V,1.0,"[1.0, -2.5, -3.8, -4.2, -5.9, -6.7]",9.66,Other Actors
qwen2.5,NIG34478,V,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",11.48,Other Actors
qwen2.5,NIG34685,B,B,1.0,"[0.05, 0.9, 0.03, 0.02, 0.01, 0.04]",9.93,Other Actors
mistral:7b,NIG16292,V,B,0.95,"[0.1, 0.95, 0.2, 0.1, 0.1, 0.6]",16.29,Other Actors
mistral:7b,NIG23107,B,B,0.95,"[0.1, 0.95, 0.2, 0.1, 0.05, 0.6]",11.55,Other Actors
mistral:7b,NIG30021,V,V,0.85,"[0.1, 0.2, 0.3, 0.4, 0.5, 0.85]",11.7,Other Actors
mistral:7b,NIG34478,V,V,0.85,"[0.1, 0.2, 0.3, 0.4, 0.85, 0.5]",39.2,Other Actors
mistral:7b,NIG34685,B,B,0.95,"[0.1, 0.95, 0.2, 0.1, 0.1, 0.6]",12.26,Other Actors
gemma:7b,NIG16292,V,V,0.95,"[0.8, 0.05, 0.07, 0.02, 0.03, 0.01]",22.13,Other Actors
gemma:7b,NIG23107,B,V,0.95,"[0.87, 0.08, 0.03, 0.01, 0.02, 0.01]",15.34,Other Actors
gemma:7b,NIG30021,V,V,0.95,"[0.8, 0.05, 0.07, 0.03, 0.04, 0.05]",14.39,Other Actors
gemma:7b,NIG34478,V,V,0.95,"[0.8, 0.05, 0.07, 0.03, 0.04, 0.01]",15.26,Other Actors
gemma:7b,NIG34685,B,V,0.95,"[0.8, 0.05, 0.07, 0.02, 0.03, 0.01]",14.68,Other Actors
