model,event_id,true_label,pred_label,pred_conf,logits,latency_sec,actor_norm,pred_conf_iso,pred_conf_temp,prob_V,prob_B,prob_E,prob_P,prob_R,prob_S
llama3.2,NIG34478,V,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.38,Other Actors,0.8333333333333334,0.9999999999989999,0.8940480345964241,0.021190393080536305,0.021190393080536305,0.021190393080536305,0.021190393080536305,0.021190393080536305
llama3.2,NIG19553,B,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.25,Other Actors,0.8333333333333334,0.9999999999989999,0.8940480345964241,0.021190393080536305,0.021190393080536305,0.021190393080536305,0.021190393080536305,0.021190393080536305
llama3.2,NIG33906,B,B,0.9,"[0.01, 0.85, 0.03, 0.02, 0.005, 0.025]",2.35,Other Actors,0.7142857142857141,0.8999999999999999,0.035287133857295594,0.8180931012522212,0.03802951805734574,0.03663267249625665,0.03463301298317834,0.0373245613528843
llama3.2,NIG16292,V,B,0.9,"[0.05, 0.85, 0.01, 0.02, 0.03, 0.04]",2.26,Other Actors,0.7142857142857141,0.8999999999999999,0.04063930815541952,0.8111922219290127,0.03498947549538255,0.03632366408169315,0.03770872679968592,0.03914660353799499
llama3.2,NIG17076,V,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.28,Other Actors,0.8333333333333334,0.9999999999989999,0.8940480345964241,0.021190393080536305,0.021190393080536305,0.021190393080536305,0.021190393080536305,0.021190393080536305
llama3.2,NIG17354,V,V,0.9,"[0.95, 0.02, 0.01, 0.0, 0.0, 0.02]",2.06,Other Actors,0.7142857142857141,0.8999999999999999,0.8707583847486342,0.026818924273202902,0.025833850119285996,0.024884958292401664,0.024884958292401664,0.026818924273202902
llama3.2,NIG36017,V,V,0.9,"[0.95, 0.02, 0.01, 0.0, 0.0, 0.01]",2.24,Other Actors,0.7142857142857141,0.8999999999999999,0.8716169921196862,0.026845368952310187,0.02585932347047454,0.024909495993091557,0.024909495993091557,0.02585932347047454
llama3.2,NIG22441,V,V,0.9,"[0.95, 0.02, 0.01, 0.0, 0.0, 0.01]",2.24,Other Actors,0.7142857142857141,0.8999999999999999,0.8716169921196862,0.026845368952310187,0.02585932347047454,0.024909495993091557,0.024909495993091557,0.02585932347047454
llama3.2,NIG36054,E,E,0.9,"[0.1, 0.05, 0.8, 0.01, 0.02, 0.03]",2.24,Other Actors,0.7142857142857141,0.8999999999999999,0.05623111619211359,0.046635389932535846,0.7720261167950041,0.04015195896105501,0.04168299892679902,0.04327241919172046
llama3.2,NIG22750,B,B,0.9,"[0.05, 0.85, 0.01, 0.03, 0.02, 0.04]",2.34,Other Actors,0.7142857142857141,0.8999999999999999,0.04063930815541952,0.8111922219290127,0.03498947549538255,0.03770872679968592,0.03632366408169315,0.03914660353799499
