model,label,precision,recall,f1,support
llama3.2,B,0.8333333333333334,0.8333333333333334,0.8333333333333334,6
llama3.2,E,0.25,1.0,0.4,1
llama3.2,S,0.0,0.0,0.0,1
llama3.2,V,0.9,0.75,0.8181818181818182,12
mistral,B,0.8571428571428571,1.0,0.9230769230769231,6
mistral,E,0.3333333333333333,1.0,0.5,1
mistral,S,0.0,0.0,0.0,1
mistral,V,1.0,0.8333333333333334,0.9090909090909091,12
qwen2.5,B,1.0,1.0,1.0,6
qwen2.5,E,1.0,1.0,1.0,1
qwen2.5,S,1.0,1.0,1.0,1
qwen2.5,V,1.0,0.8333333333333334,0.9090909090909091,12
