model,prob_col,threshold,accepted,coverage,correct,accuracy,total_valid
mistral:7b,pred_conf,0.0,200,1.0,153,0.765,200
mistral:7b,pred_conf,0.1,200,1.0,153,0.765,200
mistral:7b,pred_conf,0.2,200,1.0,153,0.765,200
mistral:7b,pred_conf,0.3,200,1.0,153,0.765,200
mistral:7b,pred_conf,0.4,200,1.0,153,0.765,200
mistral:7b,pred_conf,0.5,200,1.0,153,0.765,200
mistral:7b,pred_conf,0.6,200,1.0,153,0.765,200
mistral:7b,pred_conf,0.7,200,1.0,153,0.765,200
mistral:7b,pred_conf,0.8,200,1.0,153,0.765,200
mistral:7b,pred_conf,0.9,180,0.9,138,0.767,200
mistral:7b,pred_conf,0.95,180,0.9,138,0.767,200
mistral:7b,pred_conf,0.99,0,0.0,0,,200
mistral:7b,pred_conf_iso,0.0,200,1.0,153,0.765,200
mistral:7b,pred_conf_iso,0.1,200,1.0,153,0.765,200
mistral:7b,pred_conf_iso,0.2,200,1.0,153,0.765,200
mistral:7b,pred_conf_iso,0.3,200,1.0,153,0.765,200
mistral:7b,pred_conf_iso,0.4,200,1.0,153,0.765,200
mistral:7b,pred_conf_iso,0.5,200,1.0,153,0.765,200
mistral:7b,pred_conf_iso,0.6,180,0.9,138,0.767,200
mistral:7b,pred_conf_iso,0.7,180,0.9,138,0.767,200
mistral:7b,pred_conf_iso,0.8,0,0.0,0,,200
mistral:7b,pred_conf_iso,0.9,0,0.0,0,,200
mistral:7b,pred_conf_iso,0.95,0,0.0,0,,200
mistral:7b,pred_conf_iso,0.99,0,0.0,0,,200
mistral:7b,pred_conf_temp,0.0,200,1.0,153,0.765,200
mistral:7b,pred_conf_temp,0.1,200,1.0,153,0.765,200
mistral:7b,pred_conf_temp,0.2,200,1.0,153,0.765,200
mistral:7b,pred_conf_temp,0.3,200,1.0,153,0.765,200
mistral:7b,pred_conf_temp,0.4,200,1.0,153,0.765,200
mistral:7b,pred_conf_temp,0.5,200,1.0,153,0.765,200
mistral:7b,pred_conf_temp,0.6,200,1.0,153,0.765,200
mistral:7b,pred_conf_temp,0.7,200,1.0,153,0.765,200
mistral:7b,pred_conf_temp,0.8,200,1.0,153,0.765,200
mistral:7b,pred_conf_temp,0.9,180,0.9,138,0.767,200
mistral:7b,pred_conf_temp,0.95,0,0.0,0,,200
mistral:7b,pred_conf_temp,0.99,0,0.0,0,,200
