model,event_id,true_label,pred_label,pred_conf,logits,latency_sec,actor_norm,pred_conf_iso,pred_conf_temp,prob_V,prob_B,prob_E,prob_P,prob_R,prob_S
mistral:7b,NIG29459,E,B,0.95,"[0.1, 0.85, 0.02, 0.01, 0.01, 0.01]",0.54,Other Actors,0.7626404494382019,0.9499999999999998,0.14745108855334263,0.3121539569169833,0.13611451013609394,0.13476014813108927,0.13476014813108927,0.13476014813108927
mistral:7b,NIG19847,B,B,0.95,"[0.1, 0.85, 0.02, 0.01, 0.01, 0.01]",0.54,Other Actors,0.7626404494382019,0.9499999999999998,0.14745108855334263,0.3121539569169833,0.13611451013609394,0.13476014813108927,0.13476014813108927,0.13476014813108927
mistral:7b,NIG32787,E,E,0.95,"[0.1, 0.05, 0.2, 0.05, 0.0, 0.6]",0.54,Other Actors,0.7626404494382019,0.9499999999999998,0.15241141246503234,0.14497822016645368,0.168440660639186,0.14497822016645368,0.1379075489340735,0.25128393762854945
mistral:7b,NIG19749,B,B,0.95,"[0.1, 0.75, 0.05, 0.02, 0.02, 0.06]",0.52,Other Actors,0.7626404494382019,0.9499999999999998,0.14983984251313395,0.28702433614692024,0.14253206716104602,0.13831960796387313,0.13831960796387313,0.14396453825086641
mistral:7b,NIG30663,S,V,0.95,"[0.1, 0.05, 0.02, 0.01, 0.01, 0.81]",0.53,Other Actors,0.7626404494382019,0.9499999999999998,0.1484516625188282,0.14121158950395918,0.13703815631940258,0.13567460388131702,0.13567460388131702,0.301949383894874
mistral:7b,NIG23391,S,R,0.95,"[0.05, 0.02, 0.01, 0.85, 0.02, 0.05]",0.54,Other Actors,0.7626404494382019,0.9499999999999998,0.1403071321911179,0.13616042975987047,0.13480561084697507,0.31225926525073594,0.13616042975987047,0.1403071321911179
mistral:7b,NIG33950,B,B,0.85,"[0.1, 0.2, 0.15, 0.1, 0.1, 0.2]",0.53,Other Actors,0.525,0.85,0.15970326029018891,0.1764993987945822,0.16789142154009246,0.15970326029018891,0.15970326029018891,0.1764993987945822
mistral:7b,NIG29738,B,B,0.95,"[0.1, 0.75, 0.05, 0.02, 0.02, 0.06]",0.54,Other Actors,0.7626404494382019,0.9499999999999998,0.14983984251313395,0.28702433614692024,0.14253206716104602,0.13831960796387313,0.13831960796387313,0.14396453825086641
mistral:7b,NIG23964,E,B,0.95,"[0.1, 0.85, 0.02, 0.0, 0.02, 0.01]",0.53,Other Actors,0.7626404494382019,0.9499999999999998,0.14744910151050789,0.31214975034726916,0.13611267586437223,0.13341746430249007,0.13611267586437223,0.13475833211067614
mistral:7b,NIG36281,B,B,0.95,"[0.1, 0.85, 0.02, 0.01, 0.01, 0.01]",0.53,Other Actors,0.7626404494382019,0.9499999999999998,0.14745108855334263,0.3121539569169833,0.13611451013609394,0.13476014813108927,0.13476014813108927,0.13476014813108927
mistral:7b,NIG38761,B,B,0.85,"[0.1, 0.2, 0.3, 0.1, 0.1, 0.25]",0.53,Other Actors,0.525,0.85,0.15412101281071514,0.1703300612227667,0.18824383013744633,0.15412101281071514,0.15412101281071514,0.17906307020745324
mistral:7b,NIG17627,E,B,0.95,"[0.1, 0.85, 0.02, 0.0, 0.02, 0.01]",0.53,Other Actors,0.7626404494382019,0.9499999999999998,0.14744910151050789,0.31214975034726916,0.13611267586437223,0.13341746430249007,0.13611267586437223,0.13475833211067614
mistral:7b,NIG31483,B,B,0.95,"[0.1, 0.2, 0.3, 0.15, 0.05, 0.05, 0.1]",0.58,Other Actors,0.7626404494382019,0.9499999999999998,,,,,,
mistral:7b,NIG36017,V,V,0.95,"[0.1, 0.02, 0.01, 0.0, 0.0, 0.87]",0.53,Other Actors,0.7626404494382019,0.9499999999999998,0.14691863244122272,0.13562299119526258,0.1342735198854346,0.13293747603949013,0.13293747603949013,0.3173099043987824
