model,event_id,true_label,pred_label,pred_conf,logits,latency_sec,actor_norm
llama3.2,CAO13748,V,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.66,State forces (Cameroon)
llama3.2,CAO4935,S,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.21,State forces (Cameroon)
llama3.2,CAO2846,B,V,0.9,"[0, 0, 0, 0, 0, 0.1]",1.88,State forces (Cameroon)
llama3.2,CAO6346,V,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.28,State forces (Cameroon)
llama3.2,CAO9881,V,V,0.9,"[0.8, 0.1, 0.05, 0.01, 0.005, 0.01]",2.21,State forces (Cameroon)
llama3.2,CAO5487,V,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.21,State forces (Cameroon)
llama3.2,CAO12605,V,B,0.9,"[0.05, 0.85, 0.01, 0.03, 0.02, 0.04]",2.21,State forces (Cameroon)
llama3.2,CAO12475,V,V,1.0,"[1, 0, 0, 0, 0, 0]",1.86,State forces (Cameroon)
llama3.2,CAO7409,S,B,0.9,"[0.01, 0.85, 0.02, 0.01, 0.01, 0.0]",2.28,State forces (Cameroon)
llama3.2,CAO3384,B,B,0.9,"[0.05, 0.85, 0.01, 0.02, 0.03, 0.04]",2.2,State forces (Cameroon)
llama3.2,CAO12227,B,B,1.0,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",2.29,State forces (Cameroon)
llama3.2,CAO12122,V,V,0.9,"[0, 0, 0, 0, 0, 0.1]",1.89,State forces (Cameroon)
llama3.2,CAO4139,V,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.22,State forces (Cameroon)
llama3.2,CAO11454,S,V,0.9,"[0.8, 0.1, 0.05, 0.01, 0.005, 0.005]",2.19,State forces (Cameroon)
llama3.2,CAO4242,V,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.21,State forces (Cameroon)
llama3.2,CAO13564,B,B,1.0,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",2.28,State forces (Cameroon)
llama3.2,CAO10471,V,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.37,State forces (Cameroon)
llama3.2,CAO4773,V,V,0.9,"[0.8, 0.1, 0.05, 0.01, 0.005, 0.005]",2.18,State forces (Cameroon)
llama3.2,CAO4808,B,B,0.9,"[0.05, 0.85, 0.01, 0.02, 0.03, 0.04]",2.27,State forces (Cameroon)
llama3.2,CAO10307,V,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.28,State forces (Cameroon)
qwen2.5,CAO13748,V,V,1.0,"[0.95, 0.04, 0.01, 0.02, 0.03, 0.05]",10.77,State forces (Cameroon)
qwen2.5,CAO4935,S,V,1.0,"[1.0, -2.3, -1.5, -3.4, -2.8, -2.9]",5.3,State forces (Cameroon)
qwen2.5,CAO2846,B,V,1.0,"[0.95, 0.03, 0.02, 0.01, 0.005, 0.0]",5.89,State forces (Cameroon)
qwen2.5,CAO6346,V,V,1.0,"[0.95, 0.03, 0.01, 0.005, 0.002, 0.001]",7.06,State forces (Cameroon)
qwen2.5,CAO9881,V,V,1.0,"[1.0, -2.5, -3.8, -4.2, -5.9, -6.7]",5.83,State forces (Cameroon)
qwen2.5,CAO5487,V,V,1.0,"[0.95, 0.03, 0.02, 0.01, 0.01, 0.0]",5.38,State forces (Cameroon)
qwen2.5,CAO12605,V,V,1.0,"[0.95, 0.03, 0.02, 0.01, 0.01, 0.0]",5.93,State forces (Cameroon)
qwen2.5,CAO12475,V,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",6.95,State forces (Cameroon)
qwen2.5,CAO7409,S,V,1.0,"[0.95, 0.03, 0.01, 0.005, 0.002, 0.001]",6.18,State forces (Cameroon)
qwen2.5,CAO3384,B,B,1.0,"[0.05, 0.9, 0.03, 0.02, 0.01, 0.0]",5.58,State forces (Cameroon)
qwen2.5,CAO12227,B,B,1.0,"[0.05, 0.9, 0.03, 0.02, 0.01, 0.0]",5.54,State forces (Cameroon)
qwen2.5,CAO12122,V,V,1.0,"[0.95, 0.03, 0.02, 0.01, 0.01, 0.0]",6.47,State forces (Cameroon)
qwen2.5,CAO4139,V,V,1.0,"[1.0, -2.3, -1.5, -3.4, -2.8, -3.9]",5.37,State forces (Cameroon)
qwen2.5,CAO11454,S,P,0.95,"[0.05, 0.1, 0.08, 0.7, 0.02, 0.05]",6.03,State forces (Cameroon)
qwen2.5,CAO4242,V,V,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",5.34,State forces (Cameroon)
qwen2.5,CAO13564,B,B,1.0,"[0.05, 0.85, 0.03, 0.02, 0.04, 0.05]",5.67,State forces (Cameroon)
qwen2.5,CAO10471,V,V,1.0,"[0.95, 0.04, 0.01, 0.02, 0.03, 0.05]",6.23,State forces (Cameroon)
