model,event_id,true_label,pred_label,pred_conf,latency_sec,actor_norm
llama3.2,NIG22874,V,V,1.0,13.9,Police Forces of Nigeria
llama3.2,NIG35951,V,V,1.0,1.3,Military Forces of Nigeria
llama3.2,NIG17077,B,B,0.5,1.75,Military Forces of Nigeria
llama3.2,NIG39487,V,V,1.0,1.0,Police Forces of Nigeria
llama3.2,NIG10226,V,V,1.0,0.94,Military Forces of Nigeria
llama3.2,NIG36796,V,V,1.0,1.25,Military Forces of Nigeria
llama3.2,NIG29718,V,V,1.0,0.94,Police Forces of Nigeria
llama3.2,NIG17185,E,E,1.0,1.07,Military Forces of Nigeria
llama3.2,NIG26314,V,V,1.0,1.13,Military Forces of Nigeria
llama3.2,NIG25924,V,V,0.5,1.82,Police Forces of Nigeria
llama3.2,NIG13832,B,B,1.0,0.89,Military Forces of Nigeria
llama3.2,NIG29204,V,V,1.0,0.95,Police Forces of Nigeria National Drug Law Enforcement Agency
llama3.2,NIG32330,V,V,1.0,1.4,Police Forces of Nigeria
llama3.2,NIG29429,V,V,1.0,0.98,Police Forces of Nigeria
llama3.2,NIG39285,V,P,1.0,1.29,Police Forces of Nigeria
llama3.2,NIG29281,V,V,1.0,0.97,Military Forces of Nigeria
llama3.2,NIG7276,B,B,0.8,1.09,Military Forces of Nigeria
llama3.2,NIG23315,V,V,1.0,0.94,Police Forces of Nigeria
llama3.2,NIG16613,V,V,0.8,1.61,Military Forces of Nigeria
llama3.2,NIG37259,B,S,0.999,1.46,Military Forces of Nigeria
llama3.2,NIG38231,V,V,1.0,1.04,Police Forces of Nigeria
llama3.2,NIG39630,B,B,0.9,1.28,Military Forces of Nigeria
llama3.2,NIG11260,V,V,1.0,0.81,Police Forces of Nigeria
llama3.2,NIG17691,B,B,0.9,1.59,Military Forces of Nigeria
llama3.2,NIG37665,B,B,1.0,1.09,Police Forces of Nigeria
llama3.2,NIG36310,S,B,1.0,1.18,Military Forces of Nigeria
llama3.2,NIG7097,B,B,1.0,1.37,Military Forces of Nigeria
llama3.2,NIG33265,E,B,0.5,1.45,Military Forces of Nigeria
llama3.2,NIG39631,V,V,1.0,1.03,Military Forces of Nigeria
llama3.2,NIG26468,V,V,0.8,1.45,Police Forces of Nigeria
llama3.2,NIG20567,V,V,1.0,1.04,Military Forces of Nigeria
llama3.2,NIG21781,V,V,1.0,1.15,Police Forces of Nigeria
llama3.2,NIG14437,V,V,1.0,1.27,Police Forces of Nigeria
llama3.2,NIG29257,V,V,1.0,1.12,Police Forces of Nigeria Department of State Services
llama3.2,NIG32290,V,V,1.0,0.95,Military Forces of Nigeria
llama3.2,NIG14967,S,V,1.0,0.83,Police Forces of Nigeria
llama3.2,NIG34061,V,V,1.0,0.94,Police Forces of Nigeria
llama3.2,NIG22889,V,V,0.9999999999999999,1.57,Police Forces of Nigeria
llama3.2,NIG35834,V,V,1.0,1.15,Military Forces of Nigeria
llama3.2,NIG20967,V,V,1.0,0.96,Police Forces of Nigeria
llama3.2,NIG13089,E,B,1.0,1.05,Military Forces of Nigeria
llama3.2,NIG30838,V,V,1.0,1.24,Police Forces of Nigeria
llama3.2,NIG34248,V,V,1.0,1.2,Police Forces of Nigeria
llama3.2,NIG17102,V,V,0.9,1.48,Military Forces of Nigeria
llama3.2,NIG36260,V,V,1.0,1.21,Police Forces of Nigeria
llama3.2,NIG29720,V,V,1.0,1.06,Police Forces of Nigeria
llama3.2,NIG38752,B,V,1.0,1.19,Military Forces of Nigeria
llama3.2,NIG15780,E,B,0.5,1.78,Military Forces of Nigeria
llama3.2,NIG37572,V,V,0.0,1.5,Police Forces of Nigeria
llama3.2,NIG30110,B,B,0.5,1.57,Military Forces of Nigeria
llama3.2,NIG16590,B,B,0.8,1.64,Military Forces of Nigeria
llama3.2,NIG38750,B,B,1.0,1.42,Military Forces of Nigeria
llama3.2,NIG14058,V,V,1.0,0.94,Police Forces of Nigeria
llama3.2,NIG6117,V,V,0.0,1.46,Police Forces of Nigeria
llama3.2,NIG27361,B,V,0.999,1.37,Military Forces of Nigeria
llama3.2,NIG11134,V,V,1.0,1.67,Military Forces of Nigeria
llama3.2,NIG14779,V,V,1.0,0.92,Police Forces of Nigeria
llama3.2,NIG7737,V,V,1.0,0.97,Military Forces of Nigeria
llama3.2,NIG25477,V,V,0.9999999999999999,1.86,Military Forces of Nigeria
llama3.2,NIG35440,V,V,1.0,1.32,Police Forces of Nigeria
llama3.2,NIG11001,B,B,1.0,0.98,Military Forces of Nigeria
llama3.2,NIG12251,V,V,1.0,0.82,Police Forces of Nigeria
llama3.2,NIG22240,V,E,0.9,1.51,Police Forces of Nigeria
llama3.2,NIG36795,V,V,1.0,1.25,Military Forces of Nigeria
llama3.2,NIG19205,B,V,1.0,1.1,Military Forces of Nigeria
llama3.2,NIG27413,V,V,0.9999999999999999,1.56,Police Forces of Nigeria
llama3.2,NIG32901,B,B,1.0,1.08,Military Forces of Nigeria
llama3.2,NIG5568,B,V,1.0,1.11,Police Forces of Nigeria
llama3.2,NIG10350,V,V,1.0,0.82,Military Forces of Nigeria
llama3.2,NIG19816,B,V,1.0,0.93,Police Forces of Nigeria
llama3.2,NIG35690,B,B,0.9999999999999999,1.78,Military Forces of Nigeria
llama3.2,NIG23702,V,V,1.0,1.05,Police Forces of Nigeria
llama3.2,NIG16280,E,E,0.5,1.51,Military Forces of Nigeria
llama3.2,NIG19159,B,V,0.5,1.38,Military Forces of Nigeria
llama3.2,NIG12879,V,V,1.0,1.09,Military Forces of Nigeria
llama3.2,NIG6573,V,V,1.0,0.83,Military Forces of Nigeria
llama3.2,NIG10992,S,B,1.0,1.48,Military Forces of Nigeria
llama3.2,NIG22286,V,V,0.0,1.35,Police Forces of Nigeria
llama3.2,NIG16658,V,V,1.0,0.94,Police Forces of Nigeria
llama3.2,NIG28347,B,V,1.0,1.17,Military Forces of Nigeria
llama3.2,NIG23390,B,V,1.0,1.09,Police Forces of Nigeria
